flesch_reading_ease,flesch_kincaid_grade_level,smog_index,gunning_fog_index,average_word_length,long_word_ratio,lexical_diversity,medical_density,medical_mention_count,medical_unique_count,condition_ratio,symptom_ratio,therapy_ratio,diagnostic_ratio,medication_ratio,anatomy_ratio,location_ratio,measurement_ratio,context_ratio,activity_ratio,other_ratio,rare_term_ratio_unique,rare_term_ratio_mentions,term_clustering_concentrated,term_clustering_gini,term_clustering_max_share,passive_voice_ratio,average_sentence_length,sentence_length_std,syntax_tree_depth,subordinate_clause_density,average_dependency_distance,pronoun_frequency,video_id,text_length,word_count
61.33,7.19,11.21,8.0,1.6,0.2,1.0,0.1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,0.0,0.0,1.0,10.0,0.0,5.0,0.0,1.8,0.0,oNSWObWncA8,63.0,10.0
-731.19,312.99,58.52,322.42,1.538,0.118,0.377,0.0672,54.0,41.0,0.148,0.0,0.241,0.056,0.0,0.0,0.111,0.111,0.315,0.0,0.019,0.854,0.648,False,-0.272,0.176,2.667,271.67,190.25,19.0,0.422,4.69,0.093,V0yazJUTlb4,4607.0,800.0
-2537.11,1008.33,103.06,1036.43,1.468,0.119,0.238,0.0335,87.0,61.0,0.138,0.08,0.0,0.287,0.0,0.0,0.069,0.069,0.356,0.0,0.0,0.885,0.621,False,-0.157,0.051,0.356,58.47,54.2,10.16,0.044,3.62,0.14,Mu72saPZV6U,14002.0,2595.0
-396.57,182.35,50.93,188.7,1.638,0.153,0.461,0.0911,43.0,42.0,0.047,0.0,0.116,0.093,0.0,0.023,0.14,0.14,0.442,0.0,0.0,0.976,0.953,False,-0.179,0.264,2.0,241.0,226.27,16.5,0.507,4.98,0.118,iPyVe4jx7rI,2705.0,467.0
61.19,9.31,11.54,10.96,1.5,0.104,0.424,0.0125,8.0,8.0,0.125,0.125,0.125,0.0,0.0,0.0,0.125,0.125,0.375,0.0,0.0,1.0,1.0,False,-0.415,0.267,0.167,18.19,12.81,5.75,0.061,3.18,0.125,13X23gF0K_4,3711.0,651.0
57.89,8.17,11.0,11.13,1.617,0.158,0.633,0.0543,7.0,6.0,0.143,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.714,0.0,0.0,0.833,0.714,True,-0.37,0.556,0.0,13.7,13.64,4.6,0.1,2.96,0.153,f-Uf0XUMqO0,788.0,125.0
40.2,14.64,15.15,17.04,1.632,0.157,0.442,0.0101,4.0,4.0,0.25,0.0,0.25,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,1.0,1.0,False,0.0,0.0,0.071,29.07,11.08,8.0,0.112,3.77,0.096,ojpeeno-ppg,2469.0,396.0
-438.2,201.82,47.75,209.49,1.47,0.119,0.47,0.1025,53.0,52.0,0.113,0.057,0.151,0.094,0.0,0.0,0.038,0.113,0.415,0.0,0.019,0.981,0.962,False,-0.215,0.213,0.833,89.33,84.83,9.0,0.327,5.33,0.146,Svuy0sjpP2A,2857.0,515.0
-133.25,84.51,30.53,88.2,1.476,0.108,0.594,0.2558,55.0,52.0,0.273,0.0,0.055,0.091,0.0,0.0,0.164,0.2,0.2,0.018,0.0,0.942,0.891,False,-0.094,0.422,2.0,219.0,0.0,14.0,0.9,4.89,0.137,VOfqGYNxFs4,1116.0,215.0
-183.51,99.97,41.45,105.23,1.663,0.183,0.581,0.2137,53.0,48.0,0.075,0.094,0.226,0.0,0.019,0.0,0.113,0.075,0.377,0.019,0.0,0.917,0.83,False,-0.231,0.34,0.167,42.5,31.64,8.33,0.19,3.37,0.118,-SE6qHgJYm0,1394.0,248.0
-682.23,289.02,73.56,298.28,1.787,0.209,0.417,0.1345,99.0,88.0,0.121,0.02,0.131,0.212,0.0,0.0,0.051,0.03,0.414,0.02,0.0,0.898,0.798,False,-0.253,0.171,1.5,376.0,528.92,14.5,0.488,8.57,0.094,ohGLSYxHFzg,4562.0,732.0
-115.38,76.06,32.26,80.73,1.553,0.138,0.516,0.1789,34.0,31.0,0.206,0.176,0.0,0.206,0.0,0.059,0.059,0.029,0.265,0.0,0.0,0.903,0.824,False,-0.088,0.421,1.0,195.0,0.0,15.0,0.947,3.97,0.154,yZ2jdYoZeFw,1102.0,189.0
-5738.4,2239.63,135.88,2299.29,1.408,0.094,0.179,0.0095,55.0,46.0,0.091,0.0,0.145,0.055,0.018,0.0,0.164,0.218,0.309,0.0,0.0,0.848,0.709,False,-0.269,0.034,0.156,42.7,44.67,7.84,0.014,3.55,0.15,lvSks9_fu0A,30986.0,5782.0
63.93,8.1,11.54,10.79,1.508,0.126,0.444,0.0308,16.0,14.0,0.125,0.062,0.125,0.062,0.312,0.0,0.062,0.25,0.0,0.0,0.0,0.857,0.75,False,-0.235,0.235,0.176,15.53,5.99,6.12,0.048,2.69,0.114,-QtYNPHW0mQ,3054.0,520.0
59.89,8.96,12.16,10.94,1.541,0.131,0.413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.429,16.83,9.18,6.11,0.048,2.82,0.115,wTLB9QOTw3w,3340.0,577.0
75.03,7.55,10.29,10.34,1.328,0.082,0.597,0.0219,3.0,3.0,0.0,0.0,0.333,0.0,0.0,0.0,0.0,0.667,0.0,0.0,0.0,1.0,1.0,False,0.0,0.0,0.0,20.14,10.76,6.14,0.324,3.14,0.156,4CCA9ojRAoU,720.0,136.0
54.27,9.48,13.82,11.0,1.621,0.15,0.452,0.014,10.0,8.0,0.1,0.2,0.0,0.2,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.875,0.7,False,-0.273,0.176,0.109,16.0,7.41,6.11,0.04,2.98,0.14,kGlGGqoF5-o,4376.0,707.0
-754.61,323.96,56.72,334.52,1.443,0.106,0.401,0.0683,57.0,49.0,0.105,0.123,0.123,0.07,0.0,0.035,0.105,0.14,0.281,0.018,0.0,0.878,0.754,False,-0.265,0.145,0.176,49.71,50.66,8.0,0.147,3.36,0.151,krjuiYAzBkk,4408.0,834.0
2.85,36.96,11.21,39.62,1.247,0.021,0.639,0.2755,27.0,25.0,0.259,0.037,0.0,0.444,0.0,0.0,0.0,0.0,0.185,0.074,0.0,0.92,0.852,True,-0.115,0.615,0.0,12.0,12.98,4.0,0.226,2.57,0.241,2uD0VmPdGIE,467.0,98.0
-475.32,216.94,45.88,224.74,1.429,0.101,0.438,0.1243,70.0,56.0,0.214,0.186,0.157,0.057,0.0,0.0,0.1,0.071,0.214,0.0,0.0,0.929,0.743,False,-0.225,0.197,0.667,63.11,41.51,9.11,0.209,3.62,0.153,tDrKOe8cs_0,2917.0,559.0
-193.41,103.09,43.52,107.05,1.696,0.198,0.466,0.2213,56.0,44.0,0.018,0.036,0.286,0.089,0.0,0.304,0.0,0.036,0.232,0.0,0.0,0.795,0.625,False,-0.269,0.37,17.0,255.0,0.0,17.0,0.923,3.54,0.012,VGZRMHA4ics,1480.0,253.0
-82.78,64.31,26.68,67.88,1.516,0.107,0.591,0.1938,31.0,22.0,0.161,0.129,0.226,0.161,0.0,0.097,0.0,0.129,0.097,0.0,0.0,0.864,0.613,False,-0.29,0.478,0.0,54.33,79.65,8.0,0.762,3.72,0.141,WZxopWCd9C0,889.0,160.0
-462.36,211.16,51.6,219.12,1.467,0.134,0.456,0.154,85.0,65.0,0.047,0.094,0.094,0.153,0.012,0.176,0.118,0.024,0.282,0.0,0.0,0.862,0.659,False,-0.288,0.199,1.375,70.38,55.76,10.62,0.189,4.78,0.115,OiRnjmQUylQ,2977.0,547.0
-61.84,55.67,26.68,59.4,1.544,0.125,0.699,0.2609,36.0,36.0,0.111,0.028,0.083,0.194,0.0,0.056,0.139,0.028,0.25,0.056,0.056,1.0,1.0,True,-0.343,0.514,0.286,20.29,41.42,4.43,0.133,3.6,0.099,IrgOE0B8xIw,774.0,137.0
50.92,9.98,11.46,10.7,1.659,0.138,0.691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.125,16.5,5.37,6.38,0.27,2.78,0.091,VnP22uk1RCw,930.0,127.0
74.74,7.64,9.91,10.19,1.33,0.073,0.458,0.0322,17.0,14.0,0.059,0.059,0.059,0.0,0.0,0.353,0.176,0.176,0.118,0.0,0.0,0.857,0.706,False,-0.399,0.238,0.143,19.68,11.68,6.14,0.056,3.3,0.134,kAPlNsy-CJ0,2858.0,525.0
-7981.41,3097.04,213.65,3178.66,1.623,0.171,0.2,0.0068,55.0,44.0,0.073,0.0,0.164,0.091,0.0,0.0,0.091,0.018,0.527,0.018,0.018,0.841,0.673,False,-0.293,0.029,1.342,111.25,175.2,9.9,0.019,5.55,0.084,oBzWEtWY--0,46446.0,8019.0
-387.46,185.8,33.89,192.9,1.302,0.061,0.432,0.1653,80.0,69.0,0.075,0.138,0.013,0.2,0.013,0.0,0.05,0.1,0.287,0.113,0.013,0.899,0.775,False,-0.22,0.206,0.143,23.81,23.92,5.43,0.124,3.72,0.196,9aT6yQ-bB0Q,2376.0,482.0
-7165.68,2786.01,180.41,2859.97,1.506,0.135,0.159,0.0084,61.0,48.0,0.016,0.0,0.213,0.213,0.0,0.033,0.082,0.016,0.426,0.0,0.0,0.792,0.623,False,-0.244,0.034,0.879,74.05,113.54,8.63,0.016,5.05,0.097,IFLM_lpiS70,39288.0,7207.0
61.33,7.19,11.21,8.0,1.6,0.2,1.0,0.1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,0.0,0.0,1.0,10.0,0.0,5.0,0.0,1.8,0.0,VDcQz0CLVHM,63.0,10.0
50.92,9.98,11.46,10.7,1.659,0.138,0.691,0.0069,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,False,0.0,0.0,0.125,16.5,5.37,6.38,0.27,2.79,0.091,Oj5N4H6Y9wg,930.0,127.0
-587.14,260.11,49.89,269.15,1.419,0.101,0.435,0.1141,76.0,67.0,0.013,0.092,0.053,0.092,0.0,0.105,0.066,0.145,0.421,0.013,0.0,0.955,0.842,False,-0.394,0.269,0.118,40.94,52.22,6.24,0.073,3.72,0.167,i1Tb5gfymfU,3536.0,665.0
68.74,8.6,11.92,11.14,1.395,0.092,0.378,0.0166,13.0,9.0,0.0,0.0,0.0,0.0,0.0,0.154,0.0,0.0,0.846,0.0,0.0,0.556,0.385,False,-0.194,0.156,0.256,20.56,13.77,6.38,0.04,3.18,0.118,U8rCoDiRaxY,4267.0,782.0
-4017.24,1578.23,113.02,1620.92,1.411,0.091,0.191,0.0132,54.0,40.0,0.037,0.037,0.167,0.204,0.074,0.019,0.037,0.074,0.352,0.0,0.0,0.8,0.593,False,-0.318,0.049,0.284,44.27,39.59,7.54,0.02,3.88,0.17,qzklA8C6D74,21277.0,4075.0
-651.96,283.56,57.02,293.23,1.489,0.123,0.384,0.0782,57.0,46.0,0.07,0.035,0.158,0.07,0.0,0.0,0.088,0.018,0.474,0.088,0.0,0.87,0.702,False,-0.144,0.146,1.6,152.6,140.78,12.8,0.455,6.15,0.11,gJkemKXDM4w,4136.0,727.0
-167.53,97.49,34.94,102.9,1.486,0.127,0.563,0.1265,31.0,28.0,0.29,0.129,0.194,0.097,0.032,0.0,0.0,0.065,0.194,0.0,0.0,0.893,0.806,False,-0.183,0.356,0.667,86.0,78.08,10.33,0.404,4.41,0.159,1hsP3HxFspI,1373.0,245.0
-67.54,57.21,29.31,61.07,1.576,0.151,0.676,0.1079,15.0,14.0,0.2,0.0,0.2,0.2,0.0,0.0,0.067,0.2,0.133,0.0,0.0,0.929,0.867,True,-0.353,0.588,1.0,141.0,0.0,12.0,0.909,3.86,0.106,1IauflS1rR0,803.0,139.0
51.44,13.59,12.84,15.47,1.474,0.096,0.478,0.0255,7.0,7.0,0.143,0.0,0.0,0.143,0.0,0.0,0.0,0.714,0.0,0.0,0.0,1.0,1.0,False,-0.188,0.375,0.2,27.8,9.76,7.5,0.191,3.42,0.173,_hf6ifp_aDs,1501.0,273.0
77.03,6.12,9.56,8.64,1.36,0.075,0.396,0.0078,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.75,0.0,0.0,1.0,1.0,False,-0.354,0.25,0.257,14.89,6.64,5.23,0.051,2.9,0.138,1PtxaxcPnGc,2750.0,497.0
-265.21,135.96,38.81,141.94,1.441,0.113,0.499,0.1239,43.0,40.0,0.116,0.116,0.233,0.163,0.0,0.0,0.14,0.14,0.093,0.0,0.0,0.95,0.884,False,-0.144,0.25,3.0,179.0,164.05,12.5,0.516,3.42,0.148,14m0iXpHVAU,1890.0,346.0
61.33,7.19,11.21,8.0,1.6,0.2,1.0,0.1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,0.0,0.0,1.0,10.0,0.0,5.0,0.0,1.8,0.0,tUZaEuBnycc,63.0,10.0
-227.19,124.94,29.31,131.16,1.267,0.065,0.45,0.1582,53.0,43.0,0.132,0.226,0.057,0.113,0.057,0.0,0.094,0.189,0.113,0.019,0.0,0.884,0.717,False,-0.192,0.26,0.091,31.09,29.07,6.27,0.102,3.13,0.213,Q88c7drpQrw,1617.0,330.0
71.66,8.0,10.13,10.37,1.369,0.079,0.45,0.0121,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.167,0.667,0.167,0.0,0.0,0.8,0.667,True,-0.792,0.667,0.067,17.7,11.37,5.6,0.055,2.99,0.147,oc6vCBmvrzk,2702.0,497.0
-585.77,260.41,49.89,269.88,1.378,0.101,0.386,0.1254,83.0,67.0,0.145,0.036,0.169,0.012,0.0,0.06,0.036,0.06,0.482,0.0,0.0,0.836,0.675,False,-0.224,0.158,0.083,57.42,55.41,8.25,0.134,3.32,0.139,19KrsHv1OQw,3512.0,662.0
68.3,6.95,10.65,8.77,1.482,0.109,0.493,0.0537,26.0,18.0,0.269,0.308,0.0,0.038,0.0,0.231,0.0,0.0,0.115,0.0,0.038,0.833,0.577,False,-0.309,0.2,0.027,13.35,6.52,5.27,0.042,2.84,0.085,S3CegUhEd7Y,2801.0,483.0
-396.76,186.6,44.72,193.96,1.436,0.112,0.434,0.0865,41.0,26.0,0.049,0.146,0.22,0.024,0.122,0.0,0.122,0.146,0.122,0.049,0.0,0.769,0.488,False,-0.123,0.184,0.25,61.25,57.69,8.75,0.187,3.36,0.12,9p1Erx1aaTg,2531.0,474.0
67.95,8.09,16.61,10.86,1.433,0.112,0.27,0.016,24.0,13.0,0.0,0.333,0.0,0.167,0.0,0.417,0.042,0.042,0.0,0.0,0.0,0.538,0.292,False,-0.182,0.07,0.267,17.79,8.29,6.56,0.025,3.29,0.122,XszJGQzTb40,8185.0,1501.0
-75.43,60.55,27.37,63.52,1.561,0.122,0.561,0.1892,28.0,27.0,0.036,0.071,0.179,0.143,0.0,0.0,0.071,0.214,0.143,0.143,0.0,0.963,0.929,True,-0.366,0.548,2.0,149.0,0.0,18.0,0.9,5.19,0.128,UOe4tcUhbQI,825.0,148.0
61.33,7.19,11.21,8.0,1.6,0.2,1.0,0.1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,0.0,0.0,1.0,10.0,0.0,5.0,0.0,1.8,0.0,68XsPhyMEZA,63.0,10.0
43.7,10.77,13.13,13.04,1.754,0.211,0.496,0.0979,23.0,14.0,0.13,0.13,0.348,0.0,0.087,0.217,0.0,0.043,0.043,0.0,0.0,0.714,0.435,False,-0.177,0.327,0.5,14.75,7.44,5.88,0.076,2.97,0.021,ZCpSiSS0Yv4,1467.0,235.0
67.74,9.04,12.04,12.02,1.392,0.094,0.344,0.0153,12.0,9.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.417,0.083,0.0,0.0,0.778,0.583,False,-0.397,0.211,0.079,20.89,10.81,7.05,0.049,3.23,0.127,tl7iYSl8HjE,4130.0,785.0
47.08,11.22,18.32,13.05,1.67,0.182,0.334,0.0204,24.0,13.0,0.042,0.333,0.0,0.0,0.0,0.542,0.0,0.0,0.083,0.0,0.0,0.615,0.333,False,-0.373,0.11,0.734,18.44,8.06,6.58,0.025,3.12,0.02,4Zxvm3MSb8k,7028.0,1172.0
-826.5,354.11,47.01,365.36,1.32,0.065,0.348,0.0649,59.0,43.0,0.119,0.186,0.153,0.119,0.0,0.0,0.034,0.051,0.22,0.068,0.051,0.86,0.627,False,-0.288,0.157,0.29,30.52,42.71,5.77,0.053,3.69,0.168,4L4FrsM6kFM,4594.0,909.0
50.92,9.98,11.46,10.7,1.659,0.138,0.691,0.0069,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,False,0.0,0.0,0.125,16.5,5.37,6.38,0.27,2.78,0.091,QCe8XZqlGNg,930.0,127.0
-497.77,222.8,56.11,231.2,1.562,0.152,0.36,0.1248,71.0,57.0,0.211,0.07,0.099,0.197,0.0,0.127,0.056,0.0,0.239,0.0,0.0,0.93,0.746,False,-0.195,0.186,2.0,288.5,256.68,16.0,0.8,5.64,0.109,zrwWJL1iDug,3233.0,568.0
61.33,7.19,11.21,8.0,1.6,0.2,1.0,0.1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,0.0,0.0,1.0,10.0,0.0,5.0,0.0,1.8,0.0,3ID0wHwGDSY,63.0,10.0
85.85,3.98,7.79,5.8,1.3,0.043,0.484,0.0105,5.0,5.0,0.4,0.2,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,1.0,1.0,False,0.0,0.0,0.02,9.92,6.97,4.68,0.036,2.95,0.133,3aUEf7VZLas,2546.0,483.0
-369.08,173.55,47.01,179.86,1.553,0.135,0.443,0.1577,70.0,53.0,0.071,0.014,0.329,0.186,0.0,0.0,0.214,0.043,0.143,0.0,0.0,0.849,0.643,False,-0.069,0.201,0.333,74.83,47.7,10.5,0.276,4.06,0.136,idX2wd0HY30,2497.0,441.0
-124.43,81.17,31.12,84.94,1.474,0.118,0.467,0.1466,61.0,54.0,0.18,0.066,0.0,0.148,0.0,0.082,0.098,0.18,0.23,0.0,0.016,0.944,0.836,False,-0.244,0.291,0.417,35.58,56.2,6.58,0.245,4.3,0.169,BWzLIXx50Jo,2247.0,415.0
-10499.28,4069.55,165.01,4175.81,1.379,0.077,0.141,0.0073,77.0,67.0,0.026,0.117,0.013,0.195,0.013,0.013,0.13,0.182,0.234,0.026,0.052,0.881,0.766,False,-0.194,0.02,0.249,34.81,45.96,6.47,0.006,3.7,0.141,HggDQUjOnDQ,55519.0,10526.0
37.02,13.91,15.38,16.2,1.726,0.197,0.675,0.0252,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.0,24.0,15.48,7.2,0.214,3.69,0.117,L9urG01PmmA,779.0,119.0
65.0,7.94,10.72,9.84,1.496,0.11,0.45,0.0182,9.0,9.0,0.111,0.0,0.0,0.222,0.0,0.0,0.222,0.333,0.111,0.0,0.0,1.0,1.0,True,-0.554,0.5,0.047,12.02,8.8,4.93,0.054,2.83,0.099,423GoR_79Xg,2883.0,502.0
-10011.75,3879.82,200.03,3981.31,1.495,0.119,0.15,0.0042,43.0,35.0,0.14,0.0,0.0,0.047,0.0,0.023,0.0,0.233,0.558,0.0,0.0,0.857,0.698,False,-0.4,0.051,0.947,68.55,85.51,9.22,0.011,4.67,0.128,_VvXw6YZQTQ,55248.0,10096.0
-18.79,42.46,20.27,45.79,1.383,0.084,0.589,0.1776,19.0,17.0,0.0,0.105,0.0,0.0,0.0,0.421,0.0,0.053,0.421,0.0,0.0,0.941,0.842,True,-0.088,0.588,0.0,55.0,43.84,9.0,0.455,5.33,0.127,swnEQYLH9VU,527.0,107.0
61.33,7.19,11.21,8.0,1.6,0.2,1.0,0.1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,0.0,0.0,1.0,10.0,0.0,5.0,0.0,1.8,0.0,h8XjBVpItwU,63.0,10.0
50.92,9.98,11.46,10.7,1.659,0.138,0.691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.125,16.5,5.37,6.38,0.27,2.79,0.091,pke1WhLNoHc,930.0,127.0
-508.91,229.32,43.93,236.89,1.454,0.087,0.416,0.1562,92.0,68.0,0.098,0.033,0.087,0.098,0.076,0.0,0.087,0.13,0.326,0.065,0.0,0.824,0.609,False,-0.127,0.166,0.667,67.22,59.94,9.0,0.165,3.71,0.129,ihUxhJGvnWM,3297.0,588.0
-4731.04,1850.69,132.01,1899.92,1.499,0.107,0.197,0.0138,66.0,41.0,0.03,0.015,0.455,0.076,0.0,0.03,0.0,0.015,0.364,0.0,0.015,0.829,0.515,False,-0.236,0.029,1.156,152.94,215.48,10.0,0.065,4.88,0.14,MhXkknPC_vc,27644.0,4762.0
-405.32,184.32,53.26,190.21,1.705,0.167,0.473,0.1695,79.0,49.0,0.114,0.013,0.241,0.038,0.013,0.051,0.0,0.0,0.532,0.0,0.0,0.776,0.481,False,-0.078,0.202,3.5,234.5,156.27,15.0,0.743,5.61,0.077,iWSewFlU6o8,2938.0,463.0
61.33,7.19,11.21,8.0,1.6,0.2,1.0,0.1,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,False,0.0,0.0,1.0,10.0,0.0,5.0,0.0,1.8,0.0,7YRFE8tg-gY,63.0,10.0
50.92,9.98,11.46,10.7,1.659,0.138,0.691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,0.0,0.0,0.125,16.5,5.37,6.38,0.27,2.79,0.091,zPXphpl7gco,930.0,127.0
-530.95,234.39,55.17,241.66,1.618,0.14,0.458,0.1227,74.0,61.0,0.243,0.0,0.27,0.135,0.014,0.0,0.027,0.027,0.257,0.014,0.014,0.885,0.73,False,-0.196,0.185,5.0,613.0,0.0,21.0,0.97,5.24,0.109,pn7x1GLjyoE,3626.0,600.0
-188.37,101.64,41.45,106.24,1.672,0.18,0.552,0.1756,46.0,31.0,0.283,0.0,0.13,0.065,0.152,0.109,0.022,0.043,0.152,0.022,0.022,0.806,0.543,False,-0.168,0.351,0.333,44.17,24.77,10.5,0.258,2.95,0.087,xUV0eKlDJcY,1565.0,260.0
-265.32,140.45,25.98,146.96,1.226,0.044,0.424,0.1534,56.0,43.0,0.036,0.054,0.071,0.143,0.0,0.036,0.107,0.054,0.393,0.071,0.036,0.814,0.625,False,-0.105,0.252,0.091,34.18,28.9,6.45,0.129,3.5,0.186,g_hLjh6Iia4,1687.0,365.0
-352.43,166.26,49.19,173.04,1.596,0.156,0.533,0.2354,101.0,85.0,0.337,0.079,0.149,0.099,0.02,0.03,0.05,0.089,0.129,0.0,0.02,0.871,0.733,False,-0.22,0.272,0.667,73.0,33.33,9.33,0.226,4.34,0.11,7rDt5QGWZf0,2423.0,427.0
70.78,7.89,10.03,10.28,1.391,0.08,0.455,0.0115,5.0,5.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,0.6,0.0,0.0,1.0,1.0,False,-0.393,0.25,0.083,18.71,12.37,6.33,0.081,3.09,0.185,9tt-HuJRIIQ,2292.0,441.0
-369.88,176.15,41.87,182.06,1.442,0.103,0.491,0.1769,81.0,66.0,0.136,0.111,0.136,0.086,0.012,0.062,0.086,0.074,0.272,0.012,0.012,0.864,0.704,False,-0.086,0.213,0.385,35.92,45.38,6.23,0.11,4.03,0.169,GeMEopvNJUM,2408.0,457.0
