search key,type,source,predicted_relevance
heart and lung transplant nurse,heart-lung transplant,google_complete,1
heart and lung transplant recovery,heart-lung transplant,google_complete,1
heart and lung transplant recovery time,heart-lung transplant,google_complete,1
heart and lung transplant specialist,heart-lung transplant,google_complete,1
heart and lung transplant success rate,heart-lung transplant,google_complete,1
heart and lung transplant surgeon salary,heart-lung transplant,google_complete,1
heart and lung transplant surgery fellowship,heart-lung transplant,google_complete,1
heart and lung transplant survival rate,heart-lung transplant,google_complete,1
heart and lung transplant time frame,heart-lung transplant,google_complete,1
heart and lung transplant together,heart-lung transplant,google_complete,1
heart and lung transplant trust,heart-lung transplant,google_complete,1
heart and lung transplant unit,heart-lung transplant,google_complete,1
heart and lung transplant unit mater hospital,heart-lung transplant,google_complete,1
heart and lung transplant waiting list,heart-lung transplant,google_complete,1
heart bilateral lung transplant,heart-lung transplant,google_complete,1
heart double lung transplant,heart-lung transplant,google_complete,1
heart lung bloc transplant,heart-lung transplant,google_complete,1
heart lung block transplant,heart-lung transplant,google_complete,1
heart lung kidney transplant,heart-lung transplant,google_complete,1
heart lung liver kidney transplant,heart-lung transplant,google_complete,1
heart lung liver transplant,heart-lung transplant,google_complete,1
heart lung transplant anastomosis,heart-lung transplant,google_complete,1
heart lung transplant australia,heart-lung transplant,google_complete,0
heart lung transplant centers,heart-lung transplant,google_complete,1
heart lung transplant complications,heart-lung transplant,google_complete,1
heart lung transplant conference,heart-lung transplant,google_complete,1
heart lung transplant cost,heart-lung transplant,google_complete,1
heart lung transplant criteria,heart-lung transplant,google_complete,1
heart lung transplant cystic fibrosis,heart-lung transplant,google_complete,1
heart lung transplant en bloc,heart-lung transplant,google_complete,1
heart lung transplant failure,heart-lung transplant,google_complete,1
heart lung transplant failure icd,heart-lung transplant,google_complete,1
heart lung transplant failure icd 10,heart-lung transplant,google_complete,1
heart lung transplant fellowship,heart-lung transplant,google_complete,1
heart lung transplant first,heart-lung transplant,google_complete,1
heart lung transplant for pulmonary hypertension,heart-lung transplant,google_complete,1
heart lung transplant guidelines,heart-lung transplant,google_complete,1
heart lung transplant icd 10,heart-lung transplant,google_complete,1
heart lung transplant icu,heart-lung transplant,google_complete,1
heart lung transplant impact factor,heart-lung transplant,google_complete,1
heart lung transplant in india,heart-lung transplant,google_complete,0
heart lung transplant incision,heart-lung transplant,google_complete,1
heart lung transplant journal,heart-lung transplant,google_complete,1
heart lung transplant life expectancy,heart-lung transplant,google_complete,1
heart lung transplant outcomes,heart-lung transplant,google_complete,1
heart lung transplant procedure,heart-lung transplant,google_complete,1
heart lung transplant prognosis,heart-lung transplant,google_complete,1
heart lung transplant scar,heart-lung transplant,google_complete,1
heart lung transplant society,heart-lung transplant,google_complete,1
heart lung transplant steps,heart-lung transplant,google_complete,1
heart lung transplant success rate,heart-lung transplant,google_complete,1
heart lung transplant surgeon,heart-lung transplant,google_complete,1
heart lung transplant surgeon in seawoods,heart-lung transplant,google_complete,1
heart lung transplant surgery,heart-lung transplant,google_complete,1
heart lung transplant surgery time,heart-lung transplant,google_complete,1
heart lung transplant survival,heart-lung transplant,google_complete,1
heart lung transplant survival rates,heart-lung transplant,google_complete,1
heart lung transplant survival rates by age,heart-lung transplant,google_complete,1
heart lung transplant team,heart-lung transplant,google_complete,1
heart lung transplant technique,heart-lung transplant,google_complete,1
heart lung transplant trust victoria,heart-lung transplant,google_complete,1
heart lung transplant uk,heart-lung transplant,google_complete,1
heart lung transplant video,heart-lung transplant,google_complete,1
heart lung transplant waiting list,heart-lung transplant,google_complete,1
heart lung transplantation ppt,heart-lung transplant,google_complete,1
heart or lung transplant,heart-lung transplant,google_complete,1
heart problems after lung transplant,heart-lung transplant,google_complete,1
heart transplant and lung transplant,heart-lung transplant,google_complete,1
heart transplant pulmonary artery,heart-lung transplant,google_complete,1
heart transplant pulmonary hypertension,heart-lung transplant,google_complete,1
heart transplant pulmonary veins,heart-lung transplant,google_complete,1
heart transplant vs lung transplant,heart-lung transplant,google_complete,1
heart transplant vs lvad,heart-lung transplant,google_complete,1
heart vs lung transplant,heart-lung transplant,google_complete,1
heart' lung transplant machine,heart-lung transplant,google_complete,1
heart-lung transplant,heart-lung transplant,google_complete,1
heart-lung transplant centers,heart-lung transplant,google_complete,1
heart-lung transplant cost,heart-lung transplant,google_complete,1
heart-lung transplant for pulmonary hypertension,heart-lung transplant,google_complete,1
heart-lung transplant indications,heart-lung transplant,google_complete,1
heart-lung transplant success rate,heart-lung transplant,google_complete,1
heart-lung transplant survival rates by age,heart-lung transplant,google_complete,1
heart-lung transplantation ppt,heart-lung transplant,google_complete,1
how long do heart and lung transplants last,heart-lung transplant,google_complete,1
how long does a heart and lung transplant take,heart-lung transplant,google_complete,1
how many heart lung transplants per year,heart-lung transplant,google_complete,1
indication of heart lung transplant,heart-lung transplant,google_complete,1
infections in heart and lung transplant recipients,heart-lung transplant,google_complete,1
international heart lung transplant society,heart-lung transplant,google_complete,1
international society heart lung transplantation guidelines,heart-lung transplant,google_complete,1
international society of heart lung transplant,heart-lung transplant,google_complete,1
j heart lung transplant,heart-lung transplant,google_complete,1
j heart lung transplant abbreviation,heart-lung transplant,google_complete,1
j heart lung transplant if,heart-lung transplant,google_complete,1
j heart lung transplant impact factor,heart-lung transplant,google_complete,1
j heart lung transplant impact factor 2023,heart-lung transplant,google_complete,1
j heart lung transplant impact factor 2024,heart-lung transplant,google_complete,1
journal heart lung transplant impact factor,heart-lung transplant,google_complete,1
journal heart lung transplantation author guidelines,heart-lung transplant,google_complete,1
journal of heart lung transplant,heart-lung transplant,google_complete,1
journal of heart lung transplant impact factor,heart-lung transplant,google_complete,1
kims heart and lung transplant,heart-lung transplant,google_complete,0
kims heart and lung transplant institute,heart-lung transplant,google_complete,0
longest living heart lung transplant recipient,heart-lung transplant,google_complete,1
longest surviving heart lung transplant patient,heart-lung transplant,google_complete,1
lung or heart lung transplant,heart-lung transplant,google_complete,1
lung transplant vs heart transplant,heart-lung transplant,google_complete,1
lung transplant without heart,heart-lung transplant,google_complete,1
methodist heart and lung transplant,heart-lung transplant,google_complete,1
nz heart and lung transplant service,heart-lung transplant,google_complete,0
pediatric heart lung transplant,heart-lung transplant,google_complete,1
pph requiring heart lung transplant assessment,heart-lung transplant,google_complete,1
reasons for heart lung transplant,heart-lung transplant,google_complete,1
stanford heart lung transplant program,heart-lung transplant,google_complete,1
success rate of heart lung transplant,heart-lung transplant,google_complete,1
survival rate of heart lung transplant,heart-lung transplant,google_complete,1
uab heart lung transplant program,heart-lung transplant,google_complete,1
ucla heart and lung transplant,heart-lung transplant,google_complete,1
ucla heart lung transplant program,heart-lung transplant,google_complete,1
ucsf heart and lung transplant,heart-lung transplant,google_complete,1
ut southwestern heart and lung transplant program,heart-lung transplant,google_complete,1
what heart transplant,heart-lung transplant,google_complete,1
what is heart lung transplant,heart-lung transplant,google_complete,1
what is the life expectancy after a heart and lung transplant,heart-lung transplant,google_complete,1
when was the first heart lung transplant,heart-lung transplant,google_complete,0
who did the first heart lung transplant,heart-lung transplant,google_complete,0
