search key,type,source,predicted_relevance
lung transplant jackson memorial hospital,lung transplant,google_complete,1
lung transplant jacksonville fl,lung transplant,google_complete,1
lung transplant jake paul,lung transplant,google_complete,1
lung transplant japan,lung transplant,google_complete,0
lung transplant jefferson,lung transplant,google_complete,1
lung transplant jehovah's witness,lung transplant,google_complete,1
lung transplant jewelry,lung transplant,google_complete,0
lung transplant jobs,lung transplant,google_complete,1
lung transplant jobs usa,lung transplant,google_complete,1
lung transplant johns hopkins,lung transplant,google_complete,1
lung transplant jokes,lung transplant,google_complete,0
lung transplant journals,lung transplant,google_complete,1
lung transplant journey,lung transplant,google_complete,1
lung transplant ka kharcha,lung transplant,google_complete,0
lung transplant kaise hota hai,lung transplant,google_complete,0
lung transplant kansas,lung transplant,google_complete,1
lung transplant kansas city,lung transplant,google_complete,1
lung transplant karachi,lung transplant,google_complete,1
lung transplant kentucky,lung transplant,google_complete,1
lung transplant kidney failure,lung transplant,google_complete,1
lung transplant kids,lung transplant,google_complete,1
lung transplant kims,lung transplant,google_complete,1
lung transplant kya hota hai,lung transplant,google_complete,0
lung transplant last,lung transplant,google_complete,1
lung transplant lasts how long,lung transplant,google_complete,1
lung transplant length,lung transplant,google_complete,1
lung transplant life expectancy,lung transplant,google_complete,1
lung transplant life expectancy by age,lung transplant,google_complete,1
lung transplant lifespan,lung transplant,google_complete,1
lung transplant list,lung transplant,google_complete,1
lung transplant list requirements,lung transplant,google_complete,1
lung transplant list wait time,lung transplant,google_complete,1
lung transplant listing status,lung transplant,google_complete,1
lung transplant living donor,lung transplant,google_complete,1
lung transplant logo,lung transplant,google_complete,1
lung transplant longest survivor,lung transplant,google_complete,1
lung transplant lung cancer,lung transplant,google_complete,1
lung transplant lupus,lung transplant,google_complete,1
lung transplant machine,lung transplant,google_complete,1
lung transplant mass general,lung transplant,google_complete,1
lung transplant matching criteria,lung transplant,google_complete,1
lung transplant mayo clinic,lung transplant,google_complete,1
lung transplant median survival,lung transplant,google_complete,1
lung transplant medicare,lung transplant,google_complete,1
lung transplant medications,lung transplant,google_complete,1
lung transplant medicine,lung transplant,google_complete,1
lung transplant meme,lung transplant,google_complete,1
lung transplant mexico,lung transplant,google_complete,1
lung transplant mma,lung transplant,google_complete,1
lung transplant mma fighter,lung transplant,google_complete,1
lung transplant mortality,lung transplant,google_complete,1
lung transplant mortality rate,lung transplant,google_complete,1
lung transplant movie,lung transplant,google_complete,0
lung transplant near me,lung transplant,google_complete,1
lung transplant nejm,lung transplant,google_complete,1
lung transplant new york,lung transplant,google_complete,1
lung transplant new zealand,lung transplant,google_complete,0
lung transplant news,lung transplant,google_complete,1
lung transplant north carolina,lung transplant,google_complete,1
lung transplant northwell,lung transplant,google_complete,1
lung transplant northwestern,lung transplant,google_complete,1
lung transplant not covered by insurance,lung transplant,google_complete,1
lung transplant numbers,lung transplant,google_complete,1
lung transplant nurse practitioner,lung transplant,google_complete,1
lung transplant nurse practitioner salary,lung transplant,google_complete,1
lung transplant nyc,lung transplant,google_complete,1
lung transplant nyu,lung transplant,google_complete,1
lung transplant odds,lung transplant,google_complete,1
lung transplant ohio state,lung transplant,google_complete,1
lung transplant on ecmo,lung transplant,google_complete,1
lung transplant one or two,lung transplant,google_complete,1
lung transplant ontario,lung transplant,google_complete,1
lung transplant operation,lung transplant,google_complete,1
lung transplant operation time,lung transplant,google_complete,1
lung transplant operation video,lung transplant,google_complete,1
lung transplant options,lung transplant,google_complete,1
lung transplant organization,lung transplant,google_complete,1
lung transplant out of pocket cost,lung transplant,google_complete,1
lung transplant outcomes,lung transplant,google_complete,1
lung transplant outlook,lung transplant,google_complete,1
lung transplant over 65,lung transplant,google_complete,1
lung transplant over age 70,lung transplant,google_complete,1
lung transplant patients,lung transplant,google_complete,1
lung transplant peanut allergy,lung transplant,google_complete,1
lung transplant perfusion,lung transplant,google_complete,1
lung transplant philadelphia,lung transplant,google_complete,1
lung transplant pictures,lung transplant,google_complete,1
lung transplant pillow,lung transplant,google_complete,0
lung transplant pittsburgh,lung transplant,google_complete,1
lung transplant pneumonia,lung transplant,google_complete,1
lung transplant possible,lung transplant,google_complete,1
lung transplant precautions,lung transplant,google_complete,1
lung transplant procedure,lung transplant,google_complete,1
lung transplant procedure steps,lung transplant,google_complete,1
lung transplant process,lung transplant,google_complete,1
lung transplant prognosis,lung transplant,google_complete,1
lung transplant programs,lung transplant,google_complete,1
lung transplant pulmonary fibrosis,lung transplant,google_complete,1
lung transplant qatar,lung transplant,google_complete,0
lung transplant qualifications,lung transplant,google_complete,1
lung transplant quality of life,lung transplant,google_complete,1
lung transplant quarantine,lung transplant,google_complete,1
lung transplant quarter,lung transplant,google_complete,1
lung transplant que es,lung transplant,google_complete,1
lung transplant queensland,lung transplant,google_complete,1
lung transplant questions,lung transplant,google_complete,1
lung transplant quora,lung transplant,google_complete,1
lung transplant quotes,lung transplant,google_complete,0
lung transplant reasons,lung transplant,google_complete,1
lung transplant recipient,lung transplant,google_complete,1
lung transplant recovery,lung transplant,google_complete,1
lung transplant recovery process,lung transplant,google_complete,1
lung transplant recovery time,lung transplant,google_complete,1
lung transplant recovery timeline,lung transplant,google_complete,1
lung transplant rejection,lung transplant,google_complete,1
lung transplant rejection after 5 years,lung transplant,google_complete,1
lung transplant rejection icd 10,lung transplant,google_complete,1
lung transplant rejection rate,lung transplant,google_complete,1
lung transplant rejection stages,lung transplant,google_complete,1
lung transplant rejection symptoms,lung transplant,google_complete,1
lung transplant requirements,lung transplant,google_complete,1
lung transplant ribbon,lung transplant,google_complete,1
lung transplant ribbon color,lung transplant,google_complete,1
lung transplant risks,lung transplant,google_complete,1
lung transplant scar,lung transplant,google_complete,1
lung transplant statistics,lung transplant,google_complete,1
lung transplant status,lung transplant,google_complete,1
lung transplant status icd 10,lung transplant,google_complete,1
lung transplant success rate,lung transplant,google_complete,1
lung transplant success rate in usa,lung transplant,google_complete,1
lung transplant support group,lung transplant,google_complete,1
lung transplant surgeon,lung transplant,google_complete,1
lung transplant surgeon salary,lung transplant,google_complete,1
lung transplant surgery,lung transplant,google_complete,1
lung transplant surgery survival rate,lung transplant,google_complete,1
lung transplant surgery time,lung transplant,google_complete,1
lung transplant surgery video,lung transplant,google_complete,1
lung transplant survival,lung transplant,google_complete,1
lung transplant survival rate,lung transplant,google_complete,1
lung transplant survival rates by hospital,lung transplant,google_complete,1
lung transplant t shirts,lung transplant,google_complete,1
lung transplant tacrolimus goal,lung transplant,google_complete,1
lung transplant tacrolimus level,lung transplant,google_complete,1
lung transplant tattoo,lung transplant,google_complete,0
lung transplant tattoo ideas,lung transplant,google_complete,0
lung transplant team,lung transplant,google_complete,1
lung transplant technique,lung transplant,google_complete,1
lung transplant temple,lung transplant,google_complete,1
lung transplant testing,lung transplant,google_complete,1
lung transplant texas,lung transplant,google_complete,1
lung transplant time,lung transplant,google_complete,1
lung transplant timeline,lung transplant,google_complete,1
lung transplant transport,lung transplant,google_complete,1
lung transplant treatment,lung transplant,google_complete,1
lung transplant two donors,lung transplant,google_complete,1
lung transplant uab,lung transplant,google_complete,1
lung transplant ucla,lung transplant,google_complete,1
lung transplant ucsd,lung transplant,google_complete,1
lung transplant ucsf,lung transplant,google_complete,1
lung transplant uf health,lung transplant,google_complete,1
lung transplant ufc,lung transplant,google_complete,1
lung transplant ufc fighter,lung transplant,google_complete,1
lung transplant uk,lung transplant,google_complete,1
lung transplant university of chicago,lung transplant,google_complete,1
lung transplant upmc,lung transplant,google_complete,1
lung transplant usa,lung transplant,google_complete,1
lung transplant usc,lung transplant,google_complete,1
lung transplant utsw,lung transplant,google_complete,1
lung transplant uva,lung transplant,google_complete,1
lung transplant uw,lung transplant,google_complete,1
lung transplant vagus nerve,lung transplant,google_complete,1
lung transplant vancouver,lung transplant,google_complete,1
lung transplant vanderbilt,lung transplant,google_complete,1
lung transplant vaping,lung transplant,google_complete,1
lung transplant vcu,lung transplant,google_complete,1
lung transplant ventilator,lung transplant,google_complete,1
lung transplant vgh,lung transplant,google_complete,1
lung transplant viability,lung transplant,google_complete,1
lung transplant victoria,lung transplant,google_complete,1
lung transplant video,lung transplant,google_complete,1
lung transplant video clips,lung transplant,google_complete,1
lung transplant vienna,lung transplant,google_complete,1
lung transplant virginia,lung transplant,google_complete,1
lung transplant volume by center,lung transplant,google_complete,1
lung transplant vs heart transplant,lung transplant,google_complete,1
lung transplant wait time,lung transplant,google_complete,1
lung transplant waiting list,lung transplant,google_complete,1
lung transplant waiting list by state,lung transplant,google_complete,1
lung transplant waiting list statistics,lung transplant,google_complete,1
lung transplant waiting list texas,lung transplant,google_complete,1
lung transplant waiting list time,lung transplant,google_complete,1
lung transplant waitlist mortality,lung transplant,google_complete,1
lung transplant what to expect,lung transplant,google_complete,1
lung transplant why,lung transplant,google_complete,1
lung transplant wiki,lung transplant,google_complete,1
lung transplant wisconsin,lung transplant,google_complete,1
lung transplant with cancer,lung transplant,google_complete,1
lung transplant with cystic fibrosis,lung transplant,google_complete,1
lung transplant workup,lung transplant,google_complete,1
lung transplant wrestler,lung transplant,google_complete,0
lung transplant xray,lung transplant,google_complete,1
lung transplant yale,lung transplant,google_complete,1
lung transplant yashoda hospital,lung transplant,google_complete,0
lung transplant youtube,lung transplant,google_complete,1
lung transplantation jason d christie,lung transplant,google_complete,1
lungs ka transplant hota hai,lung transplant,google_complete,0
post lung transplant xray,lung transplant,google_complete,1
queensland lung transplant service,lung transplant,google_complete,1
what causes lung transplant,lung transplant,google_complete,1
what does a lung transplant cost,lung transplant,google_complete,1
what happens after lung transplant,lung transplant,google_complete,1
what happens when lung transplant fails,lung transplant,google_complete,1
what hospitals do lung transplants,lung transplant,google_complete,1
what is bilateral lung transplant,lung transplant,google_complete,1
what is bolt lung transplant,lung transplant,google_complete,1
what is clad lung transplant,lung transplant,google_complete,1
what is double lung transplant,lung transplant,google_complete,1
what is heart lung transplant,lung transplant,google_complete,1
what is lung transplant,lung transplant,google_complete,1
what is lung transplant rejection,lung transplant,google_complete,1
what is lung transplant success rate,lung transplant,google_complete,1
what is lung transplant survival rate,lung transplant,google_complete,1
what percentage of lung transplants are successful,lung transplant,google_complete,1
what qualifies for lung transplant,lung transplant,google_complete,1
when are lung transplants performed,lung transplant,google_complete,1
when did lung transplants become common,lung transplant,google_complete,0
when did lung transplants start,lung transplant,google_complete,0
when do they do lung transplants,lung transplant,google_complete,1
when is a lung transplant necessary,lung transplant,google_complete,1
when lung transplant is needed,lung transplant,google_complete,1
when to get lung transplant,lung transplant,google_complete,1
when was first lung transplant,lung transplant,google_complete,0
where are lung transplant scars,lung transplant,google_complete,0
where are lung transplants done,lung transplant,google_complete,1
where do transplant lungs come from,lung transplant,google_complete,0
where is incision for lung transplant,lung transplant,google_complete,1
where is the best place to get a lung transplant,lung transplant,google_complete,1
where to get lung transplant,lung transplant,google_complete,1
where was the first lung transplant performed,lung transplant,google_complete,0
who can get lung transplant,lung transplant,google_complete,1
who did the first lung transplant,lung transplant,google_complete,0
who does lung transplants,lung transplant,google_complete,1
who gets lung transplants,lung transplant,google_complete,1
who is candidate for lung transplant,lung transplant,google_complete,1
who needs lung transplant,lung transplant,google_complete,1
who paid ben askren lung transplant,lung transplant,google_complete,0
who performed the first lung transplant,lung transplant,google_complete,0
who performs lung transplants,lung transplant,google_complete,1
who qualifies for lung transplant,lung transplant,google_complete,1
why are lung transplants so difficult,lung transplant,google_complete,1
why ben askren double lung transplant,lung transplant,google_complete,1
why ben askren need lung transplant,lung transplant,google_complete,1
why do people get lung transplants,lung transplant,google_complete,1
why double lung transplant,lung transplant,google_complete,1
why lung transplant is needed,lung transplant,google_complete,1
why lung transplant rejection,lung transplant,google_complete,1
why would someone need lung transplant,lung transplant,google_complete,1
xvivo lung transplant,lung transplant,google_complete,1
zambon lung transplant,lung transplant,google_complete,1
