index,suggestion,cluster_label,label
172,heart transplant quality indicators,3,1
185,heart transplant requirements,3,1
190,heart transplant status,3,1
193,heart transplant status z code,3,1
215,heart transplant unos status,3,1
225,heart transplant volume,3,1
226,heart transplant volume by center,3,1
231,heart transplant waiting list,3,1
232,heart transplant waiting list by state,3,1
233,heart transplant waiting list criteria,3,1
234,heart transplant waiting list status,3,1
299,who qualifies for heart transplant,3,1
4,first heart transplant year,4,1
15,heart transplant anniversary,4,1
125,heart transplant list wait time,4,1
154,heart transplant operation time,4,1
180,heart transplant recovery time,4,1
191,heart transplant status 2 wait time,4,1
198,heart transplant surgery time,4,1
205,heart transplant time,4,1
206,heart transplant time frame,4,1
207,heart transplant timeline,4,1
230,heart transplant wait time,4,1
235,heart transplant waiting list time,4,1
244,heart transplant year,4,1
253,how long heart transplant surgery,4,1
274,when do heart transplants take place,4,1
275,when heart transplant is done,4,1
276,when heart transplant is needed,4,1
277,when is heart transplant day,4,1
3,first heart transplant new zealand,5,0
18,heart transplant baylor,5,1
19,heart transplant bible verse,5,1
22,heart transplant book,5,1
23,heart transplant boston,5,1
24,heart transplant box,5,1
25,heart transplant bracelet,5,1
28,heart transplant center near me,5,1
29,heart transplant centers,5,1
31,heart transplant coordinator,5,1
42,heart transplant doctor,5,1
44,heart transplant dog,5,1
45,heart transplant donor,5,1
46,heart transplant drama,5,0
47,heart transplant drg,5,1
49,heart transplant ecg,5,1
50,heart transplant echo,5,1
59,heart transplant facts,5,1
60,heart transplant fellowship,5,1
61,heart transplant financial assistance,5,1
62,heart transplant first,5,1
63,heart transplant first one,5,1
64,heart transplant for children,5,1
66,heart transplant for dogs,5,1
68,heart transplant from pig,5,1
69,heart transplant game,5,0
70,heart transplant gif,5,0
71,heart transplant gifts,5,0
72,heart transplant girl in airplane,5,0
73,heart transplant golfer,5,0
75,heart transplant grants,5,1
83,heart transplant hospital stay,5,1
84,heart transplant hospitals,5,1
85,heart transplant hospitals near me,5,1
86,heart transplant houston,5,1
91,heart transplant images,5,1
102,heart transplant japanese drama,5,0
103,heart transplant jehovah's witness,5,1
104,heart transplant jewelry,5,0
105,heart transplant jobs,5,0
106,heart transplant johns hopkins,5,1
107,heart transplant jokes,5,0
108,heart transplant journals,5,1
113,heart transplant kenya,5,0
116,heart transplant kids,5,1
127,heart transplant live,5,1
129,heart transplant machine,5,1
130,heart transplant mayo clinic,5,1
134,heart transplant memories,5,1
135,heart transplant minecraft,5,0
137,heart transplant movie,5,0
138,heart transplant movie netflix,5,0
139,heart transplant nba player,5,0
140,heart transplant near me,5,1
141,heart transplant netflix,5,0
142,heart transplant netflix show,5,0
143,heart transplant new orleans,5,1
144,heart transplant new zealand,5,0
145,heart transplant news,5,0
147,heart transplant nurse,5,1
148,heart transplant nurse practitioner,5,1
149,heart transplant nyc,5,1
150,heart transplant ocs,5,1
151,heart transplant one tree hill,5,0
156,heart transplant oregon,5,1
157,heart transplant organization,5,1
159,heart transplant patient,5,1
162,heart transplant photo,5,1
163,heart transplant pig,5,1
164,heart transplant pioneer,5,1
168,heart transplant program,5,1
169,heart transplant qatar,5,0
175,heart transplant quiz,5,0
176,heart transplant quora,5,0
177,heart transplant quotes,5,0
178,heart transplant recipient,5,1
186,heart transplant ribbon,5,1
188,heart transplant scar,5,1
189,heart transplant shirt,5,0
196,heart transplant surgeon,5,1
201,heart transplant t shirts,5,0
202,heart transplant tattoo,5,0
203,heart transplant tattoo ideas,5,0
209,heart transplant transport box,5,1
210,heart transplant uab,5,1
211,heart transplant ucla,5,1
212,heart transplant uk,5,0
213,heart transplant unit volunteer,5,1
214,heart transplant university of utah,5,1
216,heart transplant urmc,5,1
217,heart transplant usa,5,1
221,heart transplant vanderbilt,5,1
223,heart transplant video,5,1
224,heart transplant video for kids,5,1
237,heart transplant with pig heart,5,1
240,heart transplant x ray,5,1
241,heart transplant xmas movie,5,0
242,heart transplant yale,5,1
246,heart transplant young,5,1
247,heart transplant young patient,5,1
248,heart transplant youtube,5,1
261,movie where heart transplant,5,0
285,where to get heart transplant,5,1
298,who needs heart transplant,5,1
309,xeno heart transplant,5,1
310,xenogeneic heart transplant,5,1
311,xenograft heart transplant,5,1
312,xenotransplantation heart transplant,5,1
313,xvivo heart transplant,5,1
314,zayn heart transplant,5,0
316,zoe heart transplant svu,5,0
5,heart transplant 10 year survival rate,6,1
6,heart transplant 5 year survival rate,6,1
9,heart transplant age,6,1
10,heart transplant age limit,6,1
58,heart transplant expectancy,6,1
79,heart transplant heart rate,6,1
88,heart transplant how long does it last,6,1
120,heart transplant life expectancy,6,1
121,heart transplant life expectancy child,6,1
122,heart transplant lifespan,6,1
128,heart transplant longest survivor,6,1
136,heart transplant mortality rate,6,1
153,heart transplant operation success rate,6,1
158,heart transplant outcomes,6,1
167,heart transplant prognosis,6,1
173,heart transplant quality of life,6,1
182,heart transplant rejection rate,6,1
195,heart transplant success rate,6,1
199,heart transplant survival rate,6,1
200,heart transplant survival rate 10 years,6,1
245,heart transplant years of life,6,1
252,how long can you live with a transplant heart,6,1
255,how many heart transplants are successful,6,1
256,how many heart transplants can a person have,6,1
259,how many heart transplants per year,6,1
266,what is heart transplant success rate,6,1
268,what is heart transplant survival rate,6,1
271,what percentage of heart transplants are successful,6,1
1,do you change after a heart transplant,7,1
7,heart transplant after care,7,1
8,heart transplant after heart attack,7,1
11,heart transplant anastomosis,7,1
12,heart transplant anastomosis order,7,1
14,heart transplant anesthesia,7,1
16,heart transplant anti rejection drugs,7,1
17,heart transplant atropine,7,1
20,heart transplant biopsy,7,1
21,heart transplant blood type,7,1
26,heart transplant breakthrough,7,1
27,heart transplant by robot,7,1
30,heart transplant complications,7,1
38,heart transplant denervation,7,1
40,heart transplant diet,7,1
41,heart transplant disability,7,1
48,heart transplant drugs,7,1
53,heart transplant emotional effects,7,1
65,heart transplant for congestive heart failure,7,1
67,heart transplant for heart failure,7,1
74,heart transplant graft failure,7,1
80,heart transplant heart rate control,7,1
87,heart transplant how does it work,7,1
92,heart transplant immunosuppression,7,1
93,heart transplant immunosuppression drugs,7,1
94,heart transplant in dogs,7,0
98,heart transplant incision,7,1
99,heart transplant indications,7,1
109,heart transplant journey,7,1
114,heart transplant kidney failure,7,1
115,heart transplant kidney problems,7,1
131,heart transplant meaning,7,1
132,heart transplant medical term,7,1
133,heart transplant medications,7,1
146,heart transplant no incision,7,1
152,heart transplant operation,7,1
155,heart transplant options,7,1
160,heart transplant patients personality change,7,1
161,heart transplant personality change,7,1
165,heart transplant procedure,7,1
166,heart transplant procedure step by step,7,1
174,heart transplant questions,7,1
179,heart transplant recovery,7,1
181,heart transplant rejection,7,1
183,heart transplant rejection symptoms,7,1
184,heart transplant rejection treatment,7,1
187,heart transplant robotic,7,1
197,heart transplant surgery,7,1
204,heart transplant through neck,7,1
208,heart transplant transport,7,1
218,heart transplant using pig heart,7,1
219,heart transplant using robot,7,1
220,heart transplant vagus nerve,7,1
222,heart transplant vasculopathy,7,1
227,heart transplant vs artificial heart,7,1
229,heart transplant vs pacemaker,7,1
236,heart transplant wikipedia,7,0
238,heart transplant with robot,7,1
239,heart transplant without opening chest,7,1
250,how heart transplant is done,7,1
251,how heart transplant works,7,1
262,what causes heart transplant,7,1
265,what is heart transplant rejection,7,1
267,what is heart transplant surgery,7,1
269,what needs heart transplant,7,1
270,what of heart transplants are successful,7,1
283,where do heart transplants take place,7,1
293,who do heart transplant,7,1
300,why do heart transplants fail,7,1
301,why does heart transplant work,7,1
302,why does the body reject heart transplants,7,1
303,why get a heart transplant,7,1
304,why heart transplant is needed,7,1
305,why heterotopic heart transplant,7,1
306,why is heart transplant important,7,1
307,why pig heart transplant,7,1
