index,suggestion,cluster_label
231,heart transplant waiting list,3
232,heart transplant waiting list by state,3
233,heart transplant waiting list criteria,3
234,heart transplant waiting list status,3
299,who qualifies for heart transplant,3
4,first heart transplant year,4
15,heart transplant anniversary,4
125,heart transplant list wait time,4
154,heart transplant operation time,4
180,heart transplant recovery time,4
191,heart transplant status 2 wait time,4
198,heart transplant surgery time,4
205,heart transplant time,4
206,heart transplant time frame,4
207,heart transplant timeline,4
230,heart transplant wait time,4
235,heart transplant waiting list time,4
244,heart transplant year,4
253,how long heart transplant surgery,4
274,when do heart transplants take place,4
275,when heart transplant is done,4
276,when heart transplant is needed,4
277,when is heart transplant day,4
3,first heart transplant new zealand,5
18,heart transplant baylor,5
19,heart transplant bible verse,5
22,heart transplant book,5
23,heart transplant boston,5
24,heart transplant box,5
25,heart transplant bracelet,5
28,heart transplant center near me,5
29,heart transplant centers,5
31,heart transplant coordinator,5
42,heart transplant doctor,5
44,heart transplant dog,5
45,heart transplant donor,5
46,heart transplant drama,5
47,heart transplant drg,5
49,heart transplant ecg,5
50,heart transplant echo,5
59,heart transplant facts,5
60,heart transplant fellowship,5
61,heart transplant financial assistance,5
62,heart transplant first,5
63,heart transplant first one,5
64,heart transplant for children,5
66,heart transplant for dogs,5
68,heart transplant from pig,5
69,heart transplant game,5
70,heart transplant gif,5
71,heart transplant gifts,5
72,heart transplant girl in airplane,5
73,heart transplant golfer,5
75,heart transplant grants,5
83,heart transplant hospital stay,5
84,heart transplant hospitals,5
85,heart transplant hospitals near me,5
86,heart transplant houston,5
91,heart transplant images,5
102,heart transplant japanese drama,5
103,heart transplant jehovah's witness,5
104,heart transplant jewelry,5
105,heart transplant jobs,5
106,heart transplant johns hopkins,5
107,heart transplant jokes,5
108,heart transplant journals,5
113,heart transplant kenya,5
116,heart transplant kids,5
127,heart transplant live,5
129,heart transplant machine,5
130,heart transplant mayo clinic,5
134,heart transplant memories,5
135,heart transplant minecraft,5
137,heart transplant movie,5
138,heart transplant movie netflix,5
139,heart transplant nba player,5
140,heart transplant near me,5
141,heart transplant netflix,5
142,heart transplant netflix show,5
143,heart transplant new orleans,5
144,heart transplant new zealand,5
145,heart transplant news,5
147,heart transplant nurse,5
148,heart transplant nurse practitioner,5
149,heart transplant nyc,5
150,heart transplant ocs,5
151,heart transplant one tree hill,5
156,heart transplant oregon,5
157,heart transplant organization,5
159,heart transplant patient,5
162,heart transplant photo,5
163,heart transplant pig,5
164,heart transplant pioneer,5
168,heart transplant program,5
169,heart transplant qatar,5
175,heart transplant quiz,5
176,heart transplant quora,5
177,heart transplant quotes,5
178,heart transplant recipient,5
186,heart transplant ribbon,5
188,heart transplant scar,5
189,heart transplant shirt,5
196,heart transplant surgeon,5
201,heart transplant t shirts,5
202,heart transplant tattoo,5
203,heart transplant tattoo ideas,5
209,heart transplant transport box,5
210,heart transplant uab,5
211,heart transplant ucla,5
212,heart transplant uk,5
213,heart transplant unit volunteer,5
214,heart transplant university of utah,5
216,heart transplant urmc,5
217,heart transplant usa,5
221,heart transplant vanderbilt,5
223,heart transplant video,5
224,heart transplant video for kids,5
237,heart transplant with pig heart,5
240,heart transplant x ray,5
241,heart transplant xmas movie,5
242,heart transplant yale,5
246,heart transplant young,5
247,heart transplant young patient,5
248,heart transplant youtube,5
261,movie where heart transplant,5
285,where to get heart transplant,5
298,who needs heart transplant,5
309,xeno heart transplant,5
310,xenogeneic heart transplant,5
311,xenograft heart transplant,5
312,xenotransplantation heart transplant,5
313,xvivo heart transplant,5
314,zayn heart transplant,5
316,zoe heart transplant svu,5
5,heart transplant 10 year survival rate,6
6,heart transplant 5 year survival rate,6
9,heart transplant age,6
10,heart transplant age limit,6
58,heart transplant expectancy,6
79,heart transplant heart rate,6
88,heart transplant how long does it last,6
120,heart transplant life expectancy,6
121,heart transplant life expectancy child,6
122,heart transplant lifespan,6
128,heart transplant longest survivor,6
136,heart transplant mortality rate,6
153,heart transplant operation success rate,6
158,heart transplant outcomes,6
167,heart transplant prognosis,6
173,heart transplant quality of life,6
182,heart transplant rejection rate,6
195,heart transplant success rate,6
199,heart transplant survival rate,6
200,heart transplant survival rate 10 years,6
245,heart transplant years of life,6
252,how long can you live with a transplant heart,6
255,how many heart transplants are successful,6
256,how many heart transplants can a person have,6
259,how many heart transplants per year,6
266,what is heart transplant success rate,6
268,what is heart transplant survival rate,6
271,what percentage of heart transplants are successful,6
1,do you change after a heart transplant,7
7,heart transplant after care,7
8,heart transplant after heart attack,7
11,heart transplant anastomosis,7
12,heart transplant anastomosis order,7
14,heart transplant anesthesia,7
16,heart transplant anti rejection drugs,7
17,heart transplant atropine,7
20,heart transplant biopsy,7
21,heart transplant blood type,7
26,heart transplant breakthrough,7
27,heart transplant by robot,7
30,heart transplant complications,7
38,heart transplant denervation,7
40,heart transplant diet,7
41,heart transplant disability,7
48,heart transplant drugs,7
53,heart transplant emotional effects,7
65,heart transplant for congestive heart failure,7
67,heart transplant for heart failure,7
74,heart transplant graft failure,7
80,heart transplant heart rate control,7
87,heart transplant how does it work,7
92,heart transplant immunosuppression,7
93,heart transplant immunosuppression drugs,7
94,heart transplant in dogs,7
98,heart transplant incision,7
99,heart transplant indications,7
109,heart transplant journey,7
114,heart transplant kidney failure,7
115,heart transplant kidney problems,7
131,heart transplant meaning,7
132,heart transplant medical term,7
133,heart transplant medications,7
146,heart transplant no incision,7
152,heart transplant operation,7
155,heart transplant options,7
160,heart transplant patients personality change,7
161,heart transplant personality change,7
165,heart transplant procedure,7
166,heart transplant procedure step by step,7
174,heart transplant questions,7
179,heart transplant recovery,7
181,heart transplant rejection,7
183,heart transplant rejection symptoms,7
184,heart transplant rejection treatment,7
187,heart transplant robotic,7
197,heart transplant surgery,7
204,heart transplant through neck,7
208,heart transplant transport,7
218,heart transplant using pig heart,7
219,heart transplant using robot,7
220,heart transplant vagus nerve,7
222,heart transplant vasculopathy,7
227,heart transplant vs artificial heart,7
229,heart transplant vs pacemaker,7
236,heart transplant wikipedia,7
238,heart transplant with robot,7
239,heart transplant without opening chest,7
250,how heart transplant is done,7
251,how heart transplant works,7
262,what causes heart transplant,7
265,what is heart transplant rejection,7
267,what is heart transplant surgery,7
269,what needs heart transplant,7
270,what of heart transplants are successful,7
283,where do heart transplants take place,7
293,who do heart transplant,7
300,why do heart transplants fail,7
301,why does heart transplant work,7
302,why does the body reject heart transplants,7
303,why get a heart transplant,7
304,why heart transplant is needed,7
305,why heterotopic heart transplant,7
306,why is heart transplant important,7
307,why pig heart transplant,7
