video_id,Category_gpt_5,Recommendation_gpt_5,is_understandable,PEMAT Score,LLM Ranking,label_AI,is_predicted_AI,label_human,is_predicted_human
a7gJ73YIz40,Patient education - consideration,1,1.0,0.8571428571,0.8928571429,1.0,0.0,1.0,0.0
SdH-IhgHD8U,Patient Education - waitlist,1,1.0,0.2857142857,0.4642857143,1.0,0.0,1.0,0.0
zk2oTMxXMNU,Patient education - surgery,1,1.0,0.8571428571,0.8928571429,1.0,1.0,1.0,1.0
bvCRH0A6kxY,Patient education - consideration,1,1.0,0.4285714286,0.5714285714,1.0,0.0,0.0,0.0
AUMTTZ5aVIQ,Patient education - surgery,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0
DgJMRaz3xrM,Patient education - consideration,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0
x49Yje5VGbc,Patient education - consideration,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0
1KceELBEzgw,Patient education - consideration,1,0.0,0.4285714286,0.3214285714,0.0,0.0,1.0,0.0
yZ2jdYoZeFw,Patient education - consideration,1,1.0,0.8571428571,0.8928571429,1.0,0.0,1.0,1.0
-QtYNPHW0mQ,Patient education - post surgery,1,0.0,0.7142857143,0.5357142857,0.0,0.0,0.0,0.0
wTLB9QOTw3w,Patient Education - waitlist,1,0.0,1.0,0.75,0.0,0.0,1.0,1.0
kGlGGqoF5-o,Patient education - post surgery,1,1.0,0.2857142857,0.4642857143,1.0,0.0,1.0,0.0
U8rCoDiRaxY,Promotional - introduce the hospital/ MD/ clinician story,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0
1hsP3HxFspI,Patient education - evaluation,1,1.0,0.8571428571,0.8928571429,1.0,1.0,1.0,1.0
_hf6ifp_aDs,Patient education - evaluation,1,0.0,0.7142857143,0.5357142857,1.0,1.0,1.0,1.0
1PtxaxcPnGc,Patient education - surgery,1,0.0,0.4285714286,0.3214285714,0.0,0.0,0.0,0.0
14m0iXpHVAU,Patient Education - waitlist,1,1.0,0.7142857143,0.7857142857,1.0,0.0,1.0,0.0
S3CegUhEd7Y,Patient education - evaluation,1,1.0,0.7142857143,0.7857142857,1.0,0.0,1.0,0.0
9p1Erx1aaTg,Patient education - surgery,1,1.0,0.8571428571,0.8928571429,1.0,0.0,1.0,1.0
XszJGQzTb40,Patient education - evaluation,1,1.0,0.8571428571,0.8928571429,1.0,1.0,1.0,1.0
UOe4tcUhbQI,Patient education - surgery,1,1.0,0.8571428571,0.8928571429,1.0,0.0,1.0,0.0
ZCpSiSS0Yv4,Patient education - surgery,1,0.0,0.7142857143,0.5357142857,0.0,0.0,1.0,0.0
tl7iYSl8HjE,Patient education - consideration,1,0.0,0.2857142857,0.2142857143,1.0,1.0,1.0,1.0
4Zxvm3MSb8k,Patient education - surgery,1,0.0,0.8571428571,0.6428571429,1.0,1.0,1.0,1.0
zrwWJL1iDug,Patient education - evaluation,1,0.0,0.8571428571,0.6428571429,0.0,0.0,1.0,1.0
L9urG01PmmA,Patient education - surgery,1,1.0,1.0,1.0,0.0,1.0,1.0,1.0
423GoR_79Xg,Patient education - evaluation,1,1.0,0.8571428571,0.8928571429,,,,
ihUxhJGvnWM,Patient education - post surgery,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0
iWSewFlU6o8,Patient education - consideration,1,1.0,0.5714285714,0.6785714286,1.0,0.0,1.0,0.0
pn7x1GLjyoE,Patient education - evaluation,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0
xUV0eKlDJcY,Patient education - post surgery,1,0.0,0.5714285714,0.4285714286,0.0,0.0,1.0,0.0
fPyS5ma_7rM,Patient education - consideration,1,1.0,0.2857142857,0.4642857143,1.0,0.0,1.0,0.0
QPj6e1aqiB0,Patient education - consideration,1,1.0,0.8571428571,0.8928571429,1.0,0.0,1.0,0.0
aS3XEPPfNtU,Patient education - evaluation,1,1.0,0.5714285714,0.6785714286,1.0,0.0,1.0,0.0
YZ6G_ubc7BQ,Patient education - evaluation,1,1.0,0.8571428571,0.8928571429,1.0,1.0,1.0,1.0
szMgN68kijg,Patient education - post surgery,1,1.0,0.4285714286,0.5714285714,1.0,0.0,1.0,0.0
qkWLnyHua1g,Patient education - evaluation,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0
30O9u8iC51g,Patient education - post surgery,1,1.0,0.7142857143,0.7857142857,1.0,0.0,1.0,0.0
fFb68ZuG4OY,Patient education - post surgery,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0
-8wPY3vFR_A,Patient education - post surgery,1,0.0,0.7142857143,0.5357142857,1.0,1.0,1.0,1.0
wGadLXepF8s,Patient education - post surgery,1,1.0,1.0,1.0,,,,
LpiytTB4ZG4,Patient education - post surgery,1,1.0,0.8571428571,0.8928571429,1.0,0.0,1.0,0.0
jsLa9itfNFU,Patient education - evaluation,1,1.0,0.7142857143,0.7857142857,1.0,0.0,1.0,0.0
9WAD1YM5R14,Patient education - surgery,1,1.0,0.4285714286,0.5714285714,1.0,0.0,1.0,0.0
1hKkuOSe2vw,Patient education - surgery,1,1.0,0.5714285714,0.6785714286,1.0,0.0,1.0,0.0
Ra_OdIPXdqE,Patient education - post surgery,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0
aKmcTOY4N0M,Patient education - post surgery,1,1.0,1.0,1.0,,,,
Ke-PedBEhpk,Patient education - post surgery,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0
EcBsjSBS_1Q,Patient education - surgery,1,1.0,0.2857142857,0.4642857143,1.0,1.0,1.0,1.0
HJCRWBLEWAM,Patient education - post surgery,1,1.0,0.5714285714,0.6785714286,1.0,0.0,1.0,0.0
98qvFKR8OmQ,Patient education - post surgery,1,1.0,0.5714285714,0.6785714286,1.0,0.0,1.0,0.0
h6l3CB3boLA,Patient education - surgery,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0
IkBMQ2QTmfc,Patient education - post surgery,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0
MeSYFx7ends,Patient education - post surgery,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0
dVdKV9qW2wc,Patient education - post surgery,1,1.0,0.1428571429,0.3571428571,1.0,1.0,1.0,1.0
LW8xpMrucOk,Patient education - surgery,1,1.0,0.4285714286,0.5714285714,1.0,1.0,1.0,1.0
ABm8iW5eWC8,Patient education - surgery,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0
cGuxBtvBl3I,Patient education - evaluation,1,1.0,0.0,0.25,1.0,0.0,1.0,1.0
zagQa-9fJpM,Patient education - surgery,1,1.0,0.4285714286,0.5714285714,1.0,1.0,1.0,1.0
DQi4FlIiq-I,Patient education - surgery,1,1.0,0.1428571429,0.3571428571,,,,
MkKp-y5BJUQ,Patient education - consideration,1,1.0,0.2857142857,0.4642857143,,,,
3xBoVClIOXs,Patient education - surgery,1,0.0,0.1428571429,0.1071428571,1.0,1.0,1.0,1.0
Hc80DpVlVYY,Patient Education - waitlist,1,1.0,0.2857142857,0.4642857143,1.0,1.0,1.0,1.0
ePlYxTJ3w3Q,Patient education - post surgery,1,1.0,0.7142857143,0.7857142857,1.0,1.0,1.0,1.0
zjRDYdDlpiw,Patient education - post surgery,1,1.0,0.4285714286,0.5714285714,1.0,1.0,1.0,1.0
AumWr7lU0mM,Patient education - consideration,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0
S0NReOVUwOg,Patient education - evaluation,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0
JUx30vdQXeE,Patient education - surgery,1,1.0,0.7142857143,0.7857142857,1.0,1.0,1.0,1.0
RcyIgDT1eYk,Patient education - evaluation,1,0.0,0.4285714286,0.3214285714,0.0,1.0,1.0,1.0
aDacxSZ5tZc,Patient education - consideration,1,1.0,0.2857142857,0.4642857143,1.0,1.0,1.0,1.0
_hg0OdMXyvU,Patient education - consideration,1,1.0,0.4285714286,0.5714285714,1.0,1.0,1.0,1.0
vAzY6Z3N_g8,Patient education - evaluation,1,1.0,0.1428571429,0.3571428571,1.0,0.0,1.0,1.0
4DhN2CpNWzY,Patient education - consideration,1,1.0,0.4285714286,0.5714285714,1.0,1.0,1.0,1.0
krxCR7wt50Y,Patient Education - waitlist,1,1.0,0.1428571429,0.3571428571,1.0,1.0,1.0,1.0
brt92Qj1EFc,Patient education - post surgery,1,1.0,0.2857142857,0.4642857143,1.0,1.0,1.0,1.0
d4AwqixONAQ,Patient education - post surgery,1,1.0,0.2857142857,0.4642857143,1.0,1.0,1.0,1.0
oFYX05sfmGk,Patient education - consideration,1,0.0,0.4285714286,0.3214285714,1.0,1.0,1.0,1.0
Jxb8RVrgjQo,Patient education - surgery,1,0.0,0.2857142857,0.2142857143,0.0,1.0,1.0,1.0
Ewq5GelNV1E,Patient education - consideration,1,1.0,0.2857142857,0.4642857143,0.0,1.0,1.0,1.0
SvPxHFliDWU,Patient Education - waitlist,1,1.0,0.4285714286,0.5714285714,1.0,1.0,1.0,1.0
qB2xDwqlXcg,Patient education - post surgery,1,1.0,0.8571428571,0.8928571429,0.0,1.0,1.0,1.0
Tp8ulbGjexM,Patient Education - waitlist,1,1.0,0.2857142857,0.4642857143,1.0,1.0,1.0,1.0
ezBg1vX0Ozg,Patient education - evaluation,1,1.0,0.4285714286,0.5714285714,0.0,1.0,1.0,1.0
t-SIRbrtODc,Patient education - surgery,1,1.0,0.1428571429,0.3571428571,1.0,1.0,1.0,1.0
8JCO70bph6s,Patient education - consideration,1,1.0,0.1428571429,0.3571428571,1.0,1.0,1.0,1.0
SW4AAakdQaw,Patient education - post surgery,1,1.0,0.7142857143,0.7857142857,1.0,0.0,1.0,1.0
udOlD9ztx-o,Patient education - evaluation,1,1.0,0.1428571429,0.3571428571,1.0,1.0,1.0,1.0
iEOa6VM8zHg,Patient education - surgery,1,0.0,0.4285714286,0.3214285714,0.0,0.0,0.0,0.0
oaLDD3Ggus4,Patient education - consideration,1,1.0,0.4285714286,0.5714285714,1.0,1.0,1.0,1.0
ZXy747Diy88,Patient education - evaluation,1,0.0,0.2857142857,0.2142857143,1.0,1.0,1.0,1.0
WDqN_sMBccE,Patient education - surgery,1,1.0,0.2857142857,0.4642857143,1.0,1.0,1.0,1.0
5kEquK1PFKc,Patient Education - waitlist,1,1.0,0.2857142857,0.4642857143,,,,
m0y4hLA8Zec,Patient education - surgery,1,1.0,0.4285714286,0.5714285714,1.0,1.0,1.0,1.0
n7A2uQhrOB8,Patient education - consideration,1,1.0,0.2857142857,0.4642857143,1.0,1.0,1.0,1.0
braFMh1nvuk,Patient education - post surgery,1,0.0,0.1428571429,0.1071428571,1.0,1.0,1.0,1.0
znkUgQVIBH4,Patient education - consideration,1,1.0,0.2857142857,0.4642857143,1.0,1.0,1.0,1.0
HySh85IZS5E,Patient education - post surgery,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0
W8bezLf7V3w,Patient education - consideration,1,1.0,0.2857142857,0.4642857143,1.0,1.0,1.0,1.0
hPaxCgWMlkU,Patient education - consideration,1,1.0,0.4285714286,0.5714285714,1.0,0.0,1.0,1.0
7HChH-3NHQw,Patient education - post surgery,1,1.0,0.4285714286,0.5714285714,,,,
7c0C1RmdsvU,Patient education - post surgery,1,1.0,0.4285714286,0.5714285714,,,,
Mx6V-iaAB38,Patient education - post surgery,1,1.0,0.4285714286,0.5714285714,1.0,0.0,1.0,1.0
zRIEIE-sSn0,Patient Education - waitlist,1,1.0,0.2857142857,0.4642857143,1.0,1.0,1.0,1.0
Qu0HUsfzsmc,Patient education - post surgery,1,1.0,0.4285714286,0.5714285714,1.0,1.0,1.0,1.0
_ThKl9iS0T8,Patient education - consideration,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0
Cp59BCMVHHc,Patient education - surgery,1,1.0,0.2857142857,0.4642857143,1.0,1.0,1.0,1.0
PT5cFR296-w,Patient education - surgery,1,0.0,0.2857142857,0.2142857143,0.0,0.0,1.0,1.0
bmNYe2zVoLo,Patient Education - waitlist,1,1.0,0.4285714286,0.5714285714,1.0,1.0,1.0,1.0
-OcOA2cE5w4,Patient Education - waitlist,1,1.0,0.2857142857,0.4642857143,1.0,1.0,1.0,1.0
4ieT1N2B_Ww,Patient education - surgery,1,1.0,0.2857142857,0.4642857143,1.0,1.0,1.0,1.0
6Xxx9qNjPwo,Patient education - post surgery,1,1.0,0.5714285714,0.6785714286,,,,
03jZdOzvjSc,Patient education - post surgery,1,1.0,0.5714285714,0.6785714286,1.0,0.0,0.0,0.0
U0UE68qHkGI,Patient Education - waitlist,1,1.0,0.2857142857,0.4642857143,1.0,1.0,1.0,1.0
YydNvpjjijw,Patient education - post surgery,1,1.0,0.2857142857,0.4642857143,1.0,0.0,1.0,1.0
3YY_2TSC1kY,Patient education - post surgery,1,1.0,0.2857142857,0.4642857143,1.0,1.0,1.0,1.0
Y0pu63ruzrA,Patient education - post surgery,1,1.0,0.2857142857,0.4642857143,1.0,1.0,1.0,1.0
NeqmyJ_TK2U,Patient education - consideration,1,1.0,0.7142857143,0.7857142857,1.0,1.0,1.0,1.0
iP4kaR8wtE4,Patient education - evaluation,1,1.0,0.1428571429,0.3571428571,1.0,1.0,1.0,1.0
L_dCXo8a3Z0,Patient Education - waitlist,1,1.0,0.2857142857,0.4642857143,1.0,1.0,1.0,1.0
Y_bDvmxlFBk,Patient education - consideration,1,1.0,0.1428571429,0.3571428571,1.0,1.0,1.0,1.0
PTPIEyI50Ko,Patient education - evaluation,1,0.0,0.1428571429,0.1071428571,1.0,1.0,1.0,1.0
1Kjj5glCjO4,Patient education - surgery,1,0.0,0.1428571429,0.1071428571,,,,
2zy9LV6ARSI,Patient education - evaluation,1,1.0,0.8571428571,0.8928571429,1.0,0.0,0.0,0.0
AkxVxcwk89g,Patient Education - waitlist,1,0.0,0.5714285714,0.4285714286,1.0,1.0,1.0,1.0
66Uv-ZwBY88,Patient Education - waitlist,1,1.0,0.2857142857,0.4642857143,1.0,1.0,1.0,1.0
f4bW9exS6vY,Patient Education - waitlist,1,1.0,0.2857142857,0.4642857143,1.0,1.0,1.0,1.0
X2LY1h8tDU8,Patient Education - waitlist,1,1.0,0.2857142857,0.4642857143,1.0,1.0,1.0,1.0
nsimm-zLZcs,Patient Education - waitlist,1,1.0,0.0,0.25,1.0,1.0,1.0,1.0
shX5xqZSAjk,Patient education - evaluation,1,1.0,0.1428571429,0.3571428571,1.0,0.0,1.0,1.0
rTjgXZM8yN8,Patient education - consideration,1,1.0,0.1428571429,0.3571428571,1.0,1.0,1.0,1.0
kVuEjXojqrA,Patient Education - waitlist,1,0.0,0.2857142857,0.2142857143,1.0,1.0,1.0,1.0
lWo1ZUKjKj4,Patient education - evaluation,1,1.0,0.4285714286,0.5714285714,1.0,0.0,1.0,1.0
COpe6DZjy8M,Patient Education - waitlist,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0
vlkASwAkHaE,Patient education - post surgery,1,1.0,0.7142857143,0.7857142857,1.0,0.0,1.0,0.0
hxgPkmy6BN4,Patient education - post surgery,1,1.0,0.1428571429,0.3571428571,1.0,0.0,1.0,1.0
ShQNrFfEYYs,Patient education - post surgery,1,1.0,0.7142857143,0.7857142857,1.0,0.0,1.0,0.0
q16CFwsDx1c,Patient education - consideration,1,1.0,0.4285714286,0.5714285714,1.0,1.0,1.0,1.0
0H_xTEHRK0g,Patient education - surgery,1,0.0,0.5714285714,0.4285714286,0.0,0.0,1.0,0.0
K-eWKuRYTqI,Patient education - evaluation,1,1.0,0.4285714286,0.5714285714,1.0,0.0,1.0,1.0
iFILua3E6Zg,Patient education - post surgery,1,1.0,0.1428571429,0.3571428571,1.0,1.0,1.0,1.0
uKQ3BeBXV-I,Patient education - post surgery,1,1.0,0.7142857143,0.7857142857,1.0,0.0,1.0,1.0
cTvjy-1Uzok,Patient education - evaluation,1,1.0,0.2857142857,0.4642857143,1.0,1.0,1.0,1.0
vj-8ikMXPPk,Patient education - post surgery,1,1.0,0.8571428571,0.8928571429,1.0,0.0,1.0,0.0
fvMYt_aX6iY,Patient education - post surgery,1,1.0,0.4285714286,0.5714285714,1.0,1.0,1.0,1.0
TPvySQ_2Zdw,Patient education - post surgery,1,1.0,0.4285714286,0.5714285714,1.0,0.0,1.0,1.0
zJ99dU_mGCE,Patient education - surgery,1,1.0,0.1428571429,0.3571428571,1.0,0.0,1.0,1.0
SHdlRVRYKJw,Patient education - surgery,1,1.0,0.2857142857,0.4642857143,1.0,1.0,1.0,1.0
Yn8acPibhc8,Patient education - post surgery,1,1.0,0.4285714286,0.5714285714,1.0,1.0,1.0,1.0
SVym7iEvqgI,Patient education - evaluation,1,1.0,0.4285714286,0.5714285714,1.0,1.0,1.0,1.0
qgnb3QLd01A,Patient education - consideration,1,1.0,0.2857142857,0.4642857143,1.0,0.0,1.0,1.0
C0z6CudidMU,Patient education - post surgery,1,1.0,0.7142857143,0.7857142857,1.0,1.0,1.0,1.0
Bow5eOa8Jcg,Patient education - post surgery,1,1.0,0.7142857143,0.7857142857,1.0,1.0,1.0,1.0
r4v-X9uT6nI,Patient education - post surgery,1,1.0,0.4285714286,0.5714285714,1.0,1.0,1.0,1.0
hsgQ_oZP_VM,Patient education - post surgery,1,1.0,0.4285714286,0.5714285714,1.0,1.0,1.0,1.0
mYTKDineB5k,Patient education - post surgery,1,1.0,0.0,0.25,1.0,1.0,1.0,1.0
igCTRbIFh0U,Patient education - surgery,1,1.0,0.0,0.25,1.0,1.0,1.0,1.0
4yq6Fb9Fk68,Patient education - evaluation,1,1.0,0.4285714286,0.5714285714,,,,
Xvxu3D8bwtU,Patient education - surgery,1,1.0,0.2857142857,0.4642857143,1.0,1.0,1.0,1.0
_81nEFqWdgA,Patient education - consideration,1,1.0,0.4285714286,0.5714285714,1.0,0.0,1.0,1.0
tnj10J930i8,Patient education - post surgery,1,1.0,0.5714285714,0.6785714286,1.0,0.0,1.0,1.0
h3jfQGH9U0Y,Patient education - evaluation,1,1.0,0.2857142857,0.4642857143,0.0,1.0,1.0,1.0
rP05zGjuZu8,Patient education - post surgery,1,1.0,0.5714285714,0.6785714286,1.0,0.0,0.0,0.0
ywCBvQrblGY,Patient education - consideration,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0
B5V1u1hw-So,Patient education - post surgery,1,1.0,0.2857142857,0.4642857143,1.0,0.0,1.0,1.0
Ns8SHmyVMwU,Patient Education - waitlist,1,1.0,0.7142857143,0.7857142857,1.0,1.0,1.0,1.0
PdMJ9HYxkck,Patient education - consideration,1,1.0,0.4285714286,0.5714285714,1.0,0.0,1.0,1.0
n0aYj8fnqUw,Patient education - consideration,1,0.0,0.4285714286,0.3214285714,1.0,1.0,0.0,1.0
-pSSzZZch8Y,Patient education - evaluation,1,1.0,0.2857142857,0.4642857143,1.0,1.0,1.0,1.0
VdO40cCjoQw,Patient education - evaluation,1,1.0,0.2857142857,0.4642857143,1.0,1.0,1.0,1.0
T-jRjQU_wN4,Patient education - consideration,1,0.0,0.2857142857,0.2142857143,1.0,1.0,1.0,1.0
mks84XYGzWQ,Patient education - consideration,1,1.0,0.7142857143,0.7857142857,1.0,1.0,1.0,1.0
12Ec8VFBBJU,Patient education - consideration,1,1.0,0.4285714286,0.5714285714,0.0,1.0,1.0,1.0
1x16GljWewo,Patient education - evaluation,1,1.0,0.4285714286,0.5714285714,1.0,1.0,1.0,1.0
SxJhxrfxOd8,Patient education - consideration,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0
ggug7D_Pz3A,Patient education - consideration,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0
8C-exOYRY4Q,Patient Education - waitlist,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0
Xsuvh6tCMUM,Patient education - consideration,1,1.0,0.7142857143,0.7857142857,1.0,1.0,1.0,1.0
FX81RhxachU,Patient education - consideration,1,0.0,0.1428571429,0.1071428571,0.0,0.0,1.0,1.0
ZruVB0R5sZ0,Patient education - evaluation,1,1.0,0.2857142857,0.4642857143,1.0,1.0,1.0,1.0
mFKvBeWsDzc,Patient education - evaluation,1,1.0,0.4285714286,0.5714285714,1.0,1.0,1.0,1.0
Hjnd67MKhy0,Patient education - evaluation,1,1.0,0.8571428571,0.8928571429,1.0,0.0,1.0,0.0
wLCDCZ-jGyE,Patient education - evaluation,1,1.0,0.2857142857,0.4642857143,1.0,1.0,1.0,1.0
LVD_89gRUpA,Patient education - evaluation,1,1.0,0.1428571429,0.3571428571,1.0,1.0,1.0,1.0
h1yZnI6RboU,Patient education - evaluation,1,1.0,0.4285714286,0.5714285714,0.0,1.0,1.0,1.0
g7QWHcXk5r8,Patient education - evaluation,1,1.0,0.7142857143,0.7857142857,1.0,1.0,1.0,1.0
PPlFZ9m7sRs,Patient education - evaluation,1,1.0,0.4285714286,0.5714285714,1.0,1.0,1.0,1.0
VSpY0JcwsD8,Patient education - post surgery,1,1.0,0.0,0.25,1.0,0.0,1.0,1.0
l--agdcsR0I,Patient education - consideration,1,0.0,0.2857142857,0.2142857143,1.0,1.0,1.0,1.0
kIqpOtzogfg,Patient education - consideration,1,1.0,0.2857142857,0.4642857143,0.0,1.0,1.0,1.0
8zo5F5CBAuw,Patient education - evaluation,1,1.0,0.4285714286,0.5714285714,1.0,0.0,1.0,1.0
KyhnIuouFeQ,Patient education - post surgery,1,1.0,0.2857142857,0.4642857143,1.0,1.0,1.0,1.0
5bEVFzJQNIQ,Patient education - consideration,1,1.0,0.4285714286,0.5714285714,1.0,1.0,1.0,1.0
a8RDH7FhYJo,Patient education - consideration,1,1.0,0.1428571429,0.3571428571,1.0,1.0,1.0,1.0
P5yuETMKLq0,Patient education - surgery,1,0.0,0.4285714286,0.3214285714,1.0,1.0,1.0,1.0
X755mvCm3ms,Patient education - post surgery,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0
9ul6iIbCPQI,Patient education - evaluation,1,1.0,0.2857142857,0.4642857143,0.0,1.0,1.0,1.0
1tRL-3tDG4M,Patient education - post surgery,1,1.0,0.7142857143,0.7857142857,1.0,1.0,1.0,1.0
xuuQdxq6cSM,Patient education - consideration,1,1.0,0.4285714286,0.5714285714,1.0,1.0,1.0,1.0
Uqg0B3qQzOE,Patient education - post surgery,1,1.0,0.2857142857,0.4642857143,1.0,1.0,1.0,1.0
_QEyo00APpA,Patient education - post surgery,1,1.0,0.1428571429,0.3571428571,,,,
Iiahn13BpYc,Patient education - evaluation,1,1.0,0.0,0.25,1.0,0.0,1.0,1.0
hzJlNXJLxWc,Patient education - surgery,1,1.0,0.4285714286,0.5714285714,1.0,1.0,1.0,1.0
MBKPrbzDPHQ,Patient education - surgery,1,1.0,0.2857142857,0.4642857143,1.0,1.0,1.0,1.0
FaLTTq6LKWM,Patient education - consideration,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0
nakb7Jjuxwg,Patient education - evaluation,1,1.0,0.2857142857,0.4642857143,0.0,1.0,1.0,1.0
9mJExw9ARAA,Patient Education - waitlist,1,1.0,0.2857142857,0.4642857143,1.0,1.0,1.0,1.0
QLdIEi7IGl8,Patient Education - waitlist,1,1.0,0.0,0.25,1.0,1.0,1.0,1.0
PsEu3F5PnBM,Patient education - evaluation,1,1.0,0.1428571429,0.3571428571,1.0,1.0,1.0,1.0
b9CMn7YFNxo,Patient education - post surgery,1,1.0,0.2857142857,0.4642857143,1.0,1.0,1.0,1.0
nI2c-d3skFw,Patient education - consideration,1,1.0,0.5714285714,0.6785714286,0.0,1.0,1.0,1.0
sxCSmVzMxZk,Patient education - surgery,1,1.0,0.4285714286,0.5714285714,1.0,1.0,1.0,1.0
EDG2OaGYiso,Patient education - consideration,1,1.0,0.5714285714,0.6785714286,,,,
C9eH-xmTB8g,Patient education - surgery,1,1.0,0.2857142857,0.4642857143,0.0,1.0,1.0,1.0
e_6-QGoeDDc,Patient education - consideration,1,1.0,0.2857142857,0.4642857143,1.0,1.0,1.0,1.0
naHdNzp24n8,Patient education - consideration,1,1.0,0.2857142857,0.4642857143,,,,
PFrw54njj48,Patient Education - waitlist,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0
t5QjkBZj1co,Patient education - consideration,1,1.0,0.2857142857,0.4642857143,1.0,1.0,1.0,1.0
zMB5oUCpt5Y,Patient education - post surgery,1,1.0,0.7142857143,0.7857142857,1.0,1.0,1.0,1.0
-gOE6NWC-r0,Patient education - post surgery,1,1.0,0.5714285714,0.6785714286,0.0,1.0,1.0,1.0
MqzkuanJjRw,Patient education - surgery,1,1.0,0.1428571429,0.3571428571,1.0,1.0,1.0,1.0
CnJRnAiMkZY,Patient education - surgery,1,1.0,0.2857142857,0.4642857143,1.0,1.0,1.0,1.0
cBbwWg5kqFM,Patient education - surgery,1,1.0,0.2857142857,0.4642857143,1.0,1.0,1.0,1.0
VrIxRfWDOm8,Patient education - surgery,1,1.0,0.2857142857,0.4642857143,1.0,1.0,1.0,1.0
L93yQnr7u3c,Patient education - post surgery,1,1.0,0.2857142857,0.4642857143,1.0,0.0,1.0,1.0
YQEAwTFytRo,Patient education - post surgery,1,1.0,0.8571428571,0.8928571429,1.0,1.0,1.0,1.0
3F3KdExu3Is,Patient education - post surgery,1,1.0,0.7142857143,0.7857142857,1.0,1.0,1.0,1.0
zhhBS3gO6qs,Patient education - consideration,1,1.0,0.1428571429,0.3571428571,1.0,1.0,1.0,1.0
fPRbE9IShhI,Patient Education - waitlist,1,1.0,0.4285714286,0.5714285714,1.0,1.0,1.0,1.0
xptGB2ITGr0,Patient education - consideration,1,1.0,0.0,0.25,1.0,1.0,1.0,1.0
cComQ8cbixY,Patient Education - waitlist,1,1.0,0.1428571429,0.3571428571,0.0,1.0,1.0,1.0
