video_id,Category_gpt_5,Recommendation_gpt_5,is_understandable,PEMAT Score,LLM Ranking,label_AI,is_predicted_AI,label_human,is_predicted_human,PEMAT_norm,final_score,category_rank
_DeZLJVuWwg,Patient education - consideration,1,1.0,0.7142857143,0.7857142857,1.0,1.0,1.0,1.0,0.007142857143,0.85107142857145,15
KPDmx9BwEAs,Patient education - consideration,1,1.0,0.7142857143,0.7857142857,1.0,1.0,1.0,1.0,0.007142857143,0.85107142857145,16
H5aM9a60eLM,Patient education - consideration,1,1.0,0.7142857143,0.7857142857,1.0,1.0,1.0,1.0,0.007142857143,0.85107142857145,17
AD2RtJPAhIU,Patient education - consideration,1,1.0,0.7142857143,0.7857142857,1.0,1.0,1.0,1.0,0.007142857143,0.85107142857145,18
McEpJ7Dm1Rw,Patient education - consideration,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0,0.005714285714,0.8508571428571,19
iWSewFlU6o8,Patient education - consideration,1,1.0,0.5714285714,0.6785714286,1.0,0.0,1.0,0.0,0.005714285714,0.8508571428571,20
AumWr7lU0mM,Patient education - consideration,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0,0.005714285714,0.8508571428571,21
_ThKl9iS0T8,Patient education - consideration,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0,0.005714285714,0.8508571428571,22
ywCBvQrblGY,Patient education - consideration,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0,0.005714285714,0.8508571428571,23
SxJhxrfxOd8,Patient education - consideration,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0,0.005714285714,0.8508571428571,24
ggug7D_Pz3A,Patient education - consideration,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0,0.005714285714,0.8508571428571,25
FaLTTq6LKWM,Patient education - consideration,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0,0.005714285714,0.8508571428571,26
vU5RpLjZF8w,Patient education - consideration,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0,0.005714285714,0.8508571428571,27
COgIvTpH8gA,Patient education - consideration,1,1.0,0.5714285714,0.6785714286,1.0,0.0,1.0,1.0,0.005714285714,0.8508571428571,28
Ra_OdIPXdqE,Patient education - post surgery,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.01,0.8514999999999999,1
Ke-PedBEhpk,Patient education - post surgery,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.01,0.8514999999999999,2
IkBMQ2QTmfc,Patient education - post surgery,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.01,0.8514999999999999,3
MeSYFx7ends,Patient education - post surgery,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.01,0.8514999999999999,4
9ItbKVrDOtQ,Patient education - post surgery,1,1.0,0.8571428571,0.8928571429,1.0,0.0,1.0,0.0,0.008571428571,0.85128571428565,5
1G5Kkl_xjFY,Patient education - post surgery,1,1.0,0.8571428571,0.8928571429,1.0,0.0,1.0,0.0,0.008571428571,0.85128571428565,6
LpiytTB4ZG4,Patient education - post surgery,1,1.0,0.8571428571,0.8928571429,1.0,0.0,1.0,0.0,0.008571428571,0.85128571428565,7
vj-8ikMXPPk,Patient education - post surgery,1,1.0,0.8571428571,0.8928571429,1.0,0.0,1.0,0.0,0.008571428571,0.85128571428565,8
YQEAwTFytRo,Patient education - post surgery,1,1.0,0.8571428571,0.8928571429,1.0,1.0,1.0,1.0,0.008571428571,0.85128571428565,9
PBzMMGvy3ME,Patient education - post surgery,1,1.0,0.8571428571,0.8928571429,1.0,1.0,1.0,1.0,0.008571428571,0.85128571428565,10
Q4vdkCf7Xwg,Patient education - post surgery,1,1.0,0.8571428571,0.8928571429,1.0,1.0,1.0,1.0,0.008571428571,0.85128571428565,11
0DfihOFKmzc,Patient education - post surgery,1,1.0,0.8571428571,0.8928571429,1.0,1.0,1.0,1.0,0.008571428571,0.85128571428565,12
fLjaSApoDac,Patient education - post surgery,1,1.0,0.8571428571,0.8928571429,1.0,0.0,1.0,1.0,0.008571428571,0.85128571428565,13
JIXkf_i3kG0,Patient education - post surgery,1,1.0,0.8571428571,0.8928571429,1.0,1.0,1.0,1.0,0.008571428571,0.85128571428565,14
fKyzKlYGZhA,Patient education - post surgery,1,1.0,0.7142857143,0.7857142857,1.0,0.0,1.0,0.0,0.007142857143,0.85107142857145,15
lGktTbcUu3E,Patient education - post surgery,1,1.0,0.7142857143,0.7857142857,1.0,0.0,1.0,0.0,0.007142857143,0.85107142857145,16
uag1jIEuKTw,Patient education - post surgery,1,1.0,0.7142857143,0.7857142857,1.0,0.0,1.0,0.0,0.007142857143,0.85107142857145,17
30O9u8iC51g,Patient education - post surgery,1,1.0,0.7142857143,0.7857142857,1.0,0.0,1.0,0.0,0.007142857143,0.85107142857145,18
ePlYxTJ3w3Q,Patient education - post surgery,1,1.0,0.7142857143,0.7857142857,1.0,1.0,1.0,1.0,0.007142857143,0.85107142857145,19
SW4AAakdQaw,Patient education - post surgery,1,1.0,0.7142857143,0.7857142857,1.0,0.0,1.0,1.0,0.007142857143,0.85107142857145,20
vlkASwAkHaE,Patient education - post surgery,1,1.0,0.7142857143,0.7857142857,1.0,0.0,1.0,0.0,0.007142857143,0.85107142857145,21
ShQNrFfEYYs,Patient education - post surgery,1,1.0,0.7142857143,0.7857142857,1.0,0.0,1.0,0.0,0.007142857143,0.85107142857145,22
uKQ3BeBXV-I,Patient education - post surgery,1,1.0,0.7142857143,0.7857142857,1.0,0.0,1.0,1.0,0.007142857143,0.85107142857145,23
C0z6CudidMU,Patient education - post surgery,1,1.0,0.7142857143,0.7857142857,1.0,1.0,1.0,1.0,0.007142857143,0.85107142857145,24
Bow5eOa8Jcg,Patient education - post surgery,1,1.0,0.7142857143,0.7857142857,1.0,1.0,1.0,1.0,0.007142857143,0.85107142857145,25
pn7x1GLjyoE,Patient education - evaluation,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.01,0.8514999999999999,1
qkWLnyHua1g,Patient education - evaluation,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.01,0.8514999999999999,2
kv3PN9sti9Y,Patient education - evaluation,1,1.0,0.8571428571,0.8928571429,1.0,0.0,1.0,0.0,0.008571428571,0.85128571428565,3
1hsP3HxFspI,Patient education - evaluation,1,1.0,0.8571428571,0.8928571429,1.0,1.0,1.0,1.0,0.008571428571,0.85128571428565,4
XszJGQzTb40,Patient education - evaluation,1,1.0,0.8571428571,0.8928571429,1.0,1.0,1.0,1.0,0.008571428571,0.85128571428565,5
YZ6G_ubc7BQ,Patient education - evaluation,1,1.0,0.8571428571,0.8928571429,1.0,1.0,1.0,1.0,0.008571428571,0.85128571428565,6
Hjnd67MKhy0,Patient education - evaluation,1,1.0,0.8571428571,0.8928571429,1.0,0.0,1.0,0.0,0.008571428571,0.85128571428565,7
S3CegUhEd7Y,Patient education - evaluation,1,1.0,0.7142857143,0.7857142857,1.0,0.0,1.0,0.0,0.007142857143,0.85107142857145,8
jsLa9itfNFU,Patient education - evaluation,1,1.0,0.7142857143,0.7857142857,1.0,0.0,1.0,0.0,0.007142857143,0.85107142857145,9
g7QWHcXk5r8,Patient education - evaluation,1,1.0,0.7142857143,0.7857142857,1.0,1.0,1.0,1.0,0.007142857143,0.85107142857145,10
S1vxtWLZW40,Patient education - evaluation,1,1.0,0.7142857143,0.7857142857,1.0,1.0,1.0,1.0,0.007142857143,0.85107142857145,11
aS3XEPPfNtU,Patient education - evaluation,1,1.0,0.5714285714,0.6785714286,1.0,0.0,1.0,0.0,0.005714285714,0.8508571428571,12
S0NReOVUwOg,Patient education - evaluation,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0,0.005714285714,0.8508571428571,13
Y0ACcA3U6c8,Patient education - evaluation,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0,0.005714285714,0.8508571428571,14
gutRhgx8yQo,Patient education - evaluation,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0,0.005714285714,0.8508571428571,15
tLR2AE8UPcw,Patient education - evaluation,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0,0.005714285714,0.8508571428571,16
YCQD5T_uOv0,Patient education - evaluation,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0,0.005714285714,0.8508571428571,17
5zVO8qosRu0,Patient education - evaluation,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0,0.005714285714,0.8508571428571,18
PYpGIl443b4,Patient education - evaluation,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0,0.005714285714,0.8508571428571,19
AUMTTZ5aVIQ,Patient education - surgery,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.01,0.8514999999999999,1
h6l3CB3boLA,Patient education - surgery,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.01,0.8514999999999999,2
zk2oTMxXMNU,Patient education - surgery,1,1.0,0.8571428571,0.8928571429,1.0,1.0,1.0,1.0,0.008571428571,0.85128571428565,3
9p1Erx1aaTg,Patient education - surgery,1,1.0,0.8571428571,0.8928571429,1.0,0.0,1.0,1.0,0.008571428571,0.85128571428565,4
UOe4tcUhbQI,Patient education - surgery,1,1.0,0.8571428571,0.8928571429,1.0,0.0,1.0,0.0,0.008571428571,0.85128571428565,5
JUx30vdQXeE,Patient education - surgery,1,1.0,0.7142857143,0.7857142857,1.0,1.0,1.0,1.0,0.007142857143,0.85107142857145,6
6-0CvKbDtPs,Patient education - surgery,1,1.0,0.7142857143,0.7857142857,1.0,1.0,1.0,1.0,0.007142857143,0.85107142857145,7
EBJrZIi6tsU,Patient education - surgery,1,1.0,0.7142857143,0.7857142857,1.0,1.0,1.0,1.0,0.007142857143,0.85107142857145,8
TrOIC3_T-U8,Patient education - surgery,1,1.0,0.7142857143,0.7857142857,1.0,1.0,1.0,1.0,0.007142857143,0.85107142857145,9
1hKkuOSe2vw,Patient education - surgery,1,1.0,0.5714285714,0.6785714286,1.0,0.0,1.0,0.0,0.005714285714,0.8508571428571,10
ABm8iW5eWC8,Patient education - surgery,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0,0.005714285714,0.8508571428571,11
nNhIivlMhFI,Patient education - surgery,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0,0.005714285714,0.8508571428571,12
LsYFZiJM94E,Patient education - surgery,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0,0.005714285714,0.8508571428571,13
3e6Ok8BFqYo,Patient education - surgery,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0,0.005714285714,0.8508571428571,14
5M9tz38lrvQ,Patient education - surgery,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0,0.005714285714,0.8508571428571,15
DgoVKIkCKEQ,Patient education - surgery,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0,0.005714285714,0.8508571428571,16
-y6JiLg201w,Patient education - surgery,1,1.0,0.5714285714,0.6785714286,1.0,0.0,1.0,1.0,0.005714285714,0.8508571428571,17
ofLDgqgnzlg,Patient Education - waitlist,1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.01,0.8514999999999999,1
o1XNQs21gGA,Patient Education - waitlist,1,1.0,0.7142857143,0.7857142857,1.0,0.0,1.0,0.0,0.007142857143,0.85107142857145,2
14m0iXpHVAU,Patient Education - waitlist,1,1.0,0.7142857143,0.7857142857,1.0,0.0,1.0,0.0,0.007142857143,0.85107142857145,3
Ns8SHmyVMwU,Patient Education - waitlist,1,1.0,0.7142857143,0.7857142857,1.0,1.0,1.0,1.0,0.007142857143,0.85107142857145,4
HBeaaPlf3RA,Patient Education - waitlist,1,1.0,0.7142857143,0.7857142857,1.0,0.0,1.0,1.0,0.007142857143,0.85107142857145,5
COpe6DZjy8M,Patient Education - waitlist,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0,0.005714285714,0.8508571428571,6
8C-exOYRY4Q,Patient Education - waitlist,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0,0.005714285714,0.8508571428571,7
PFrw54njj48,Patient Education - waitlist,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0,0.005714285714,0.8508571428571,8
BsFn6tNQEo4,Patient Education - waitlist,1,1.0,0.5714285714,0.6785714286,1.0,1.0,1.0,1.0,0.005714285714,0.8508571428571,9
SvPxHFliDWU,Patient Education - waitlist,1,1.0,0.4285714286,0.5714285714,1.0,1.0,1.0,1.0,0.004285714286,0.8506428571429,10
U8rCoDiRaxY,Promotional - introduce the hospital/ MD/ clinician story,1,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.01,0.8514999999999999,1
