video_id,entity_total,count_therapeutic_procedure,count_coreference,count_diagnostic_procedure,count_subject,count_biological_structure,count_lab_value,count_detailed_description,count_clinical_event,count_sign_symptom,count_disease_disorder,count_quantitative_concept,count_date,count_history,count_duration,count_outcome,count_nonbiological_location,count_frequency,count_medication,count_activity,count_dosage,count_qualitative_concept,count_other_event,count_time,count_family_history,count_other_entity,count_sex,count_age,count_personal_background,count_severity,count_texture,count_occupation
A_H2aJwNq4c,59,4.0,7.0,3.0,2.0,5.0,12.0,11.0,2.0,4.0,0.0,0.0,2.0,0.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W8bezLf7V3w,41,17.0,6.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,1.0,4.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
V_I6Q56vtjE,74,13.0,3.0,4.0,4.0,3.0,7.0,3.0,0.0,10.0,3.0,0.0,6.0,0.0,2.0,0.0,9.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
kQ9xD7ZARJk,65,9.0,0.0,1.0,1.0,8.0,2.0,6.0,2.0,16.0,2.0,0.0,3.0,0.0,4.0,0.0,4.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hPaxCgWMlkU,9,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gb0gwJV1kY8,44,3.0,0.0,1.0,3.0,4.0,1.0,3.0,1.0,6.0,17.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
QHlhAhx4Ur4,23,2.0,0.0,0.0,0.0,7.0,0.0,6.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CUUq7fLMruM,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PrE6DnQkjdk,12,0.0,0.0,1.0,0.0,4.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ckfj5KiviHk,23,2.0,5.0,0.0,0.0,0.0,3.0,1.0,5.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
