video_id,entity_total,count_personal_background,count_nonbiological_location,count_biological_structure,count_sign_symptom,count_therapeutic_procedure,count_disease_disorder,count_lab_value,count_detailed_description,count_history,count_occupation,count_subject,count_distance,count_duration,count_coreference,count_quantitative_concept,count_medication,count_diagnostic_procedure,count_outcome,count_date,count_activity,count_time,count_clinical_event,count_other_event,count_family_history,count_frequency,count_sex,count_age,count_texture,count_severity,count_dosage,count_color,count_administration
EhvjWs0v8D0,24,0.0,1.0,3.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-rUGADJf8MI,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S-wyikxv7jw,61,0.0,1.0,6.0,7.0,3.0,4.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,20.0,0.0,0.0,5.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Fswo4AeJIhs,20,0.0,0.0,1.0,9.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9uvt4Bhd8Uo,54,0.0,9.0,1.0,7.0,7.0,1.0,7.0,3.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,3.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yrXakep8ZXM,17,0.0,1.0,4.0,0.0,3.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xe-tja-CDi4,4,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rP05zGjuZu8,70,0.0,6.0,3.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,4.0,0.0,3.0,20.0,0.0,0.0,0.0,1.0,7.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q-Z8B92DQDI,80,0.0,4.0,9.0,16.0,6.0,7.0,8.0,5.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,1.0,1.0,0.0,3.0,0.0,7.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
m8_voizePDQ,59,0.0,3.0,17.0,2.0,15.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ywCBvQrblGY,12,0.0,1.0,4.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4EBUSmSh9Ew,15,0.0,2.0,1.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
B5V1u1hw-So,46,0.0,6.0,3.0,3.0,11.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
4kPFuxWn-WY,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ns8SHmyVMwU,107,0.0,0.0,5.0,12.0,1.0,8.0,5.0,27.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,11.0,29.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Iz2pHV22w78,47,0.0,4.0,1.0,8.0,2.0,1.0,2.0,6.0,1.0,0.0,0.0,0.0,4.0,4.0,0.0,0.0,3.0,0.0,5.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0
mUy197lg-9U,21,0.0,2.0,1.0,4.0,0.0,7.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HpZWaKoSMsI,68,0.0,2.0,0.0,1.0,5.0,1.0,3.0,18.0,0.0,0.0,1.0,0.0,1.0,7.0,0.0,11.0,2.0,0.0,4.0,0.0,1.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0
vTXAWMO5mvE,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PdMJ9HYxkck,40,0.0,0.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,21.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0
qyO3DGHOtAE,34,2.0,3.0,0.0,3.0,8.0,0.0,1.0,11.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n0aYj8fnqUw,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Vqzp1A9GYw8,34,0.0,3.0,0.0,3.0,11.0,1.0,0.0,5.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a8AiZy9s5Uo,82,0.0,13.0,0.0,5.0,5.0,12.0,4.0,10.0,0.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,7.0,0.0,6.0,2.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-pSSzZZch8Y,66,0.0,8.0,1.0,0.0,26.0,1.0,0.0,2.0,0.0,0.0,10.0,0.0,1.0,8.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2pdhKw7-Bcw,66,0.0,1.0,0.0,0.0,7.0,1.0,3.0,15.0,0.0,0.0,6.0,0.0,0.0,25.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
N7kj0sfe6og,88,1.0,5.0,0.0,1.0,21.0,1.0,2.0,23.0,0.0,0.0,2.0,0.0,0.0,26.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VdO40cCjoQw,68,0.0,3.0,2.0,1.0,22.0,15.0,1.0,5.0,0.0,0.0,2.0,0.0,3.0,4.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
vAtPL0_EUiY,17,0.0,0.0,0.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
