video_id,entity_total,count_sign_symptom,count_coreference,count_biological_structure,count_therapeutic_procedure,count_lab_value,count_diagnostic_procedure,count_disease_disorder,count_duration,count_nonbiological_location,count_subject,count_outcome,count_detailed_description,count_medication,count_occupation,count_quantitative_concept,count_frequency,count_clinical_event,count_history,count_family_history,count_date,count_other_event,count_activity,count_qualitative_concept,count_dosage,count_time,count_administration,count_severity,count_age,count_sex,count_other_entity
-DgvdrXc3ko,96,0.0,10.0,0.0,13.0,19.0,3.0,6.0,4.0,4.0,0.0,0.0,34.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
O--OeL5ux7o,34,0.0,1.0,1.0,9.0,0.0,2.0,9.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
xLjJk0dY2jM,33,4.0,2.0,0.0,2.0,2.0,0.0,1.0,4.0,3.0,2.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
daqVl--n0XQ,45,2.0,9.0,6.0,13.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
M7-FQ9W3K90,12,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W740hmEpkMs,50,1.0,16.0,5.0,1.0,4.0,2.0,0.0,1.0,8.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
x9BWVjKfET0,29,1.0,1.0,1.0,1.0,0.0,4.0,5.0,0.0,4.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ymbpvsanMNk,87,22.0,0.0,5.0,2.0,2.0,2.0,3.0,3.0,11.0,1.0,0.0,13.0,5.0,0.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ROstH3irbws,55,0.0,11.0,3.0,11.0,2.0,0.0,3.0,5.0,2.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0DFBgSNk1J0,72,11.0,10.0,2.0,13.0,2.0,4.0,4.0,1.0,3.0,2.0,0.0,9.0,0.0,0.0,4.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
K5IsxDcxM14,71,13.0,13.0,8.0,1.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cp9XZ-HxZs0,80,1.0,0.0,3.0,1.0,16.0,3.0,11.0,6.0,6.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,0.0
1RNZCQZ0Jc8,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ztb_992bNfg,52,5.0,8.0,2.0,5.0,4.0,1.0,2.0,3.0,2.0,6.0,1.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xrBV2Q8Hf-A,75,1.0,14.0,8.0,17.0,3.0,2.0,8.0,0.0,7.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ffe1PKuwM9Q,40,3.0,10.0,12.0,4.0,2.0,2.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eevYyHrXEsk,2,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HBeaaPlf3RA,51,3.0,3.0,0.0,16.0,4.0,11.0,0.0,2.0,3.0,2.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BG6rRen2Mi0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
yKYEHMV6X2g,7,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
_kdv1a1Ep44,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0037qEU7iHY,43,5.0,5.0,0.0,5.0,5.0,4.0,2.0,1.0,1.0,0.0,1.0,7.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
r92eCFbknyQ,40,3.0,1.0,7.0,6.0,0.0,2.0,13.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0
CN05CDyEf-o,40,2.0,1.0,9.0,4.0,2.0,6.0,2.0,3.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
nGpwOCgfxo4,78,9.0,4.0,15.0,10.0,5.0,2.0,3.0,2.0,8.0,0.0,0.0,10.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0
tkIfrPyh8vM,24,2.0,4.0,2.0,2.0,0.0,2.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HDzvaqdeqNA,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BXwyANaoHms,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
z4qP9D9RA3c,35,0.0,2.0,1.0,13.0,0.0,1.0,2.0,1.0,3.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
lnRLsPNrEdw,71,0.0,1.0,0.0,29.0,0.0,10.0,0.0,2.0,4.0,4.0,0.0,10.0,0.0,0.0,0.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
