video_id,entity_total,count_lab_value,count_clinical_event,count_activity,count_occupation,count_other_event,count_subject,count_coreference,count_detailed_description,count_diagnostic_procedure,count_history,count_disease_disorder,count_sex,count_sign_symptom,count_date,count_therapeutic_procedure,count_nonbiological_location,count_outcome,count_age,count_severity,count_time,count_duration,count_biological_structure,count_quantitative_concept,count_medication,count_other_entity,count_frequency,count_family_history,count_dosage,count_area,count_personal_background,count_administration,count_color,count_qualitative_concept
vavGxnUyy9A,46,4.0,5.0,0.0,1.0,1.0,0.0,5.0,8.0,3.0,0.0,5.0,0.0,0.0,1.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hnkXpgLF4n4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d12zpEwTaJM,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S0NReOVUwOg,60,2.0,6.0,2.0,0.0,0.0,1.0,3.0,4.0,17.0,0.0,1.0,0.0,0.0,0.0,9.0,3.0,0.0,0.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mKEHbyzjxnU,50,0.0,3.0,0.0,0.0,0.0,5.0,8.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JUx30vdQXeE,67,1.0,0.0,0.0,0.0,0.0,1.0,21.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,19.0,5.0,0.0,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
I6ypRSWyeXc,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wBBlJh1vIZc,8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
RcyIgDT1eYk,77,10.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,12.0,0.0,8.0,0.0,3.0,1.0,23.0,8.0,0.0,0.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0hIP6fan87Y,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
aDacxSZ5tZc,58,2.0,1.0,1.0,0.0,0.0,1.0,18.0,7.0,1.0,0.0,2.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,11.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_hg0OdMXyvU,72,2.0,0.0,1.0,0.0,0.0,5.0,16.0,16.0,3.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0
vAzY6Z3N_g8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4DhN2CpNWzY,4,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CyS8ECTMQN4,25,3.0,4.0,0.0,0.0,0.0,4.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
p2yOZveRKhA,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
krxCR7wt50Y,4,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
brt92Qj1EFc,81,2.0,0.0,0.0,0.0,0.0,0.0,4.0,11.0,11.0,0.0,2.0,0.0,2.0,4.0,8.0,3.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,26.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
d4AwqixONAQ,94,4.0,6.0,0.0,0.0,0.0,1.0,9.0,3.0,0.0,0.0,6.0,0.0,18.0,1.0,18.0,8.0,0.0,0.0,0.0,12.0,2.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oFYX05sfmGk,59,2.0,1.0,0.0,0.0,1.0,0.0,2.0,16.0,1.0,0.0,3.0,0.0,10.0,0.0,18.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RiP3m1Cyb1s,32,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,15.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0
No2aS0LElMI,37,0.0,2.0,5.0,0.0,0.0,0.0,4.0,9.0,2.0,2.0,3.0,0.0,0.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
Jxb8RVrgjQo,76,2.0,3.0,0.0,0.0,0.0,2.0,6.0,3.0,1.0,0.0,0.0,0.0,1.0,1.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oucaQ0NW6SI,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ACP-hdH06qo,46,6.0,4.0,0.0,0.0,0.0,4.0,1.0,3.0,7.0,0.0,11.0,0.0,2.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
Ewq5GelNV1E,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
