video_id,entity_total,count_diagnostic_procedure,count_coreference,count_activity,count_detailed_description,count_other_event,count_history,count_nonbiological_location,count_therapeutic_procedure,count_disease_disorder,count_sign_symptom,count_subject,count_clinical_event,count_occupation,count_date,count_duration,count_lab_value,count_biological_structure,count_medication,count_age,count_other_entity,count_time,count_outcome,count_personal_background,count_family_history,count_administration,count_quantitative_concept,count_frequency,count_dosage,count_sex,count_severity,count_qualitative_concept
f3zS9TlYLUI,44,3.0,2.0,0.0,5.0,0.0,0.0,2.0,4.0,2.0,11.0,1.0,3.0,0.0,0.0,2.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DTP8wlQS0Y8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Z3UXcpT3egc,7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AD2RtJPAhIU,44,3.0,19.0,0.0,12.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LcBaW2csTjo,67,2.0,18.0,0.0,19.0,0.0,0.0,0.0,7.0,3.0,0.0,7.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iB4hAHyAByw,9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
0F0LNR5OXwo,50,0.0,22.0,0.0,17.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
5H5OZOWWCqI,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
kfgZ0TK6vwM,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hl8iEcnyEek,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qYR2ZJvleJI,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iwPdIcv4R8U,45,2.0,0.0,0.0,15.0,0.0,3.0,0.0,6.0,1.0,1.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
BQ9G_YSbxcM,22,0.0,0.0,0.0,3.0,0.0,0.0,1.0,7.0,0.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
fquiIxZgk4s,82,6.0,26.0,0.0,13.0,0.0,1.0,0.0,10.0,1.0,3.0,3.0,1.0,0.0,0.0,3.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
Dj1SzImT_yI,43,2.0,4.0,0.0,3.0,0.0,0.0,0.0,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,0.0,0.0,0.0
CKuDzOPcX9k,111,16.0,8.0,0.0,17.0,0.0,1.0,2.0,3.0,25.0,9.0,5.0,1.0,0.0,1.0,0.0,7.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0
nsWmEuW_NWI,77,2.0,3.0,0.0,14.0,0.0,0.0,4.0,6.0,12.0,26.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dK_eztfhgPo,42,1.0,0.0,3.0,3.0,0.0,2.0,1.0,5.0,11.0,1.0,0.0,2.0,1.0,0.0,5.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Uzh2zyf7ilk,51,6.0,20.0,0.0,3.0,0.0,0.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
uvBpaAuXWPI,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qvjfG_Uljps,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HS7-ZbgyLNE,35,0.0,1.0,0.0,3.0,0.0,0.0,4.0,11.0,0.0,3.0,4.0,1.0,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Z1KAFKngyaY,19,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0
OTKzvngCZ28,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XHwfo2fVyWI,63,1.0,5.0,4.0,14.0,0.0,0.0,3.0,3.0,1.0,3.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0
63KXp9pZzRA,17,0.0,2.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0
x8p65U7Kisc,75,1.0,17.0,0.0,7.0,0.0,0.0,0.0,7.0,5.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AMkNYaXhhvU,32,0.0,1.0,2.0,4.0,0.0,0.0,0.0,2.0,2.0,3.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,8.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0
37xSeUlCF0c,20,0.0,4.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
YkA2bdnM5n8,62,1.0,4.0,0.0,4.0,1.0,1.0,4.0,7.0,1.0,11.0,8.0,2.0,0.0,5.0,0.0,10.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eNsLjk2fJxc,21,1.0,3.0,0.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BqLnHsi6Qgo,102,11.0,6.0,1.0,14.0,1.0,2.0,7.0,22.0,3.0,3.0,0.0,3.0,2.0,3.0,2.0,6.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0
