video_id,entity_total,count_diagnostic_procedure,count_subject,count_nonbiological_location,count_medication,count_therapeutic_procedure,count_detailed_description,count_lab_value,count_sign_symptom,count_coreference,count_disease_disorder,count_duration,count_dosage,count_frequency,count_biological_structure,count_activity,count_other_entity,count_quantitative_concept,count_date,count_outcome,count_time,count_clinical_event,count_family_history,count_other_event,count_personal_background,count_history,count_severity,count_occupation,count_age,count_sex
IyE3lphxhTg,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ceX9osV57Pc,5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fHe-sw4yWhk,70,6.0,2.0,2.0,4.0,8.0,4.0,9.0,3.0,6.0,12.0,3.0,0.0,2.0,4.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
xsCrRY33Meo,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iU-kZznCqTE,79,5.0,1.0,3.0,5.0,7.0,14.0,8.0,4.0,11.0,15.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
vxr9NEzlDeU,66,21.0,0.0,4.0,0.0,4.0,9.0,2.0,4.0,12.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
k32QBKhK3SI,64,17.0,0.0,5.0,0.0,4.0,15.0,1.0,7.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VdXEUCrhN9g,32,4.0,4.0,0.0,1.0,5.0,2.0,3.0,3.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VIqWscXjb7w,20,0.0,0.0,0.0,7.0,2.0,0.0,2.0,0.0,4.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1oAlSo_hjl4,98,7.0,0.0,3.0,0.0,2.0,14.0,4.0,14.0,1.0,30.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EgxvU6XrHtI,60,0.0,0.0,6.0,0.0,10.0,18.0,1.0,0.0,2.0,10.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0
rPC2qiSags0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
UBl2qwi0BGw,54,1.0,0.0,5.0,2.0,4.0,19.0,4.0,2.0,3.0,5.0,2.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qx2gSLPicm0,60,3.0,1.0,5.0,1.0,7.0,8.0,10.0,8.0,0.0,3.0,1.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
LWGCqj5_-14,35,0.0,0.0,4.0,0.0,2.0,10.0,0.0,0.0,6.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
WwdB_EYfCXw,88,15.0,0.0,9.0,0.0,7.0,22.0,2.0,5.0,15.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GMYhl28dBfk,48,8.0,1.0,2.0,0.0,0.0,23.0,4.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
IE-xepGLVt8,66,0.0,6.0,2.0,0.0,9.0,14.0,2.0,13.0,3.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0
mWiTgXHwuJI,17,0.0,0.0,0.0,0.0,5.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
GLGKMbJL0zY,13,0.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
akO5xf0YWnw,57,9.0,3.0,4.0,0.0,4.0,3.0,0.0,0.0,3.0,0.0,9.0,0.0,12.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3m0vW_ejQwY,49,2.0,0.0,1.0,0.0,8.0,8.0,9.0,5.0,7.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EgVeZX8rZdc,60,2.0,8.0,6.0,0.0,9.0,3.0,1.0,0.0,8.0,0.0,3.0,0.0,6.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rw0HCius2HM,61,5.0,1.0,5.0,2.0,11.0,5.0,3.0,5.0,0.0,8.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
h0QvdG8oKUo,59,2.0,0.0,10.0,0.0,5.0,11.0,8.0,4.0,3.0,1.0,1.0,0.0,0.0,1.0,3.0,0.0,0.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
U81bIyELvL4,55,0.0,1.0,0.0,2.0,23.0,13.0,2.0,2.0,4.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
y-eTuleY-Vw,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XJcpWPMXW1E,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7AgLqCHrFng,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
