video_id,entity_total,count_therapeutic_procedure,count_coreference,count_sign_symptom,count_detailed_description,count_lab_value,count_disease_disorder,count_diagnostic_procedure,count_clinical_event,count_subject,count_frequency,count_duration,count_medication,count_biological_structure,count_dosage,count_time,count_nonbiological_location,count_activity,count_administration,count_other_entity,count_severity,count_quantitative_concept,count_age,count_sex,count_date,count_other_event,count_qualitative_concept,count_history,count_family_history,count_outcome,count_occupation,count_personal_background
TGlbtCyHaps,64,2.0,1.0,9.0,5.0,11.0,1.0,10.0,0.0,1.0,1.0,0.0,7.0,3.0,5.0,4.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oXBT0uIdjU4,60,9.0,6.0,5.0,5.0,4.0,0.0,1.0,4.0,3.0,4.0,4.0,4.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cDyZqpoRui0,69,5.0,5.0,3.0,17.0,1.0,4.0,19.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ehFU93Mhfmk,92,6.0,4.0,6.0,13.0,7.0,13.0,9.0,1.0,5.0,1.0,3.0,11.0,0.0,2.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nNhIivlMhFI,10,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
JgNVhHRw3tc,15,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fNqvbdmTwt4,81,2.0,1.0,13.0,24.0,3.0,24.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
22Ty9QW1x5A,57,2.0,3.0,7.0,8.0,9.0,2.0,5.0,2.0,5.0,0.0,2.0,2.0,2.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
EzKwIzujckE,52,4.0,2.0,6.0,5.0,12.0,3.0,5.0,1.0,3.0,0.0,1.0,2.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0
ubrZS1KEMM0,57,9.0,5.0,1.0,19.0,1.0,14.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2yoM01eIydY,1,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dfTkvCaznwI,40,8.0,1.0,3.0,0.0,1.0,2.0,19.0,1.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Wz50JRNvLgY,5,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jSMEktkyAFs,46,6.0,7.0,0.0,3.0,0.0,1.0,7.0,6.0,1.0,0.0,3.0,1.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3vC_uVwtqc8,11,0.0,0.0,0.0,0.0,2.0,1.0,5.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XozS9XFplVw,23,6.0,0.0,0.0,0.0,2.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
W-UHoEhm2F8,43,3.0,5.0,3.0,10.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,7.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5XfjuyMHbKE,48,10.0,5.0,0.0,2.0,1.0,1.0,6.0,3.0,0.0,1.0,3.0,0.0,8.0,0.0,2.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BanIGqOoEi0,92,22.0,2.0,15.0,0.0,6.0,8.0,10.0,4.0,2.0,2.0,2.0,1.0,5.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZQMPrAzm-7o,62,13.0,17.0,1.0,12.0,2.0,0.0,2.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
Sjb_4xlY5qc,1,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0WnbzT7kMCI,63,2.0,3.0,7.0,5.0,1.0,6.0,2.0,4.0,2.0,1.0,2.0,0.0,2.0,0.0,0.0,9.0,8.0,0.0,0.0,2.0,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
jTGtmTY0KPs,54,10.0,5.0,3.0,5.0,2.0,5.0,7.0,1.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
_ZNlepuqh7I,52,4.0,10.0,15.0,5.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
Bm20QPadcYY,80,3.0,7.0,17.0,7.0,5.0,4.0,4.0,5.0,2.0,2.0,5.0,1.0,3.0,0.0,5.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
eD_m2dVnjqk,15,5.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
b_txypQJuRU,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ynTQcAweNNA,44,12.0,2.0,3.0,1.0,3.0,9.0,1.0,1.0,0.0,0.0,0.0,8.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
INg0mUbL-KM,80,3.0,9.0,2.0,9.0,3.0,13.0,4.0,5.0,3.0,0.0,0.0,3.0,5.0,0.0,2.0,9.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0
hRu-N4O-RY0,67,7.0,2.0,6.0,11.0,2.0,1.0,2.0,3.0,8.0,0.0,1.0,0.0,3.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,1.0,0.0,2.0,4.0,0.0,0.0,1.0
LsYFZiJM94E,25,1.0,0.0,12.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jKFv4-tHHUs,37,4.0,1.0,2.0,8.0,3.0,9.0,2.0,1.0,0.0,1.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8w-Y9QInwQg,66,5.0,1.0,11.0,5.0,3.0,7.0,0.0,2.0,9.0,3.0,2.0,1.0,1.0,0.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
6-0CvKbDtPs,110,8.0,0.0,1.0,41.0,29.0,0.0,22.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PBzMMGvy3ME,88,8.0,6.0,10.0,9.0,1.0,0.0,6.0,0.0,3.0,0.0,0.0,30.0,10.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
Usz4oJyS29M,57,1.0,1.0,12.0,7.0,5.0,0.0,3.0,2.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,10.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0
DjkmLsl3K8A,69,14.0,1.0,4.0,19.0,1.0,0.0,1.0,3.0,2.0,0.0,0.0,1.0,18.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4s_XF3NJTvA,6,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
woqZSRRM5i0,28,0.0,0.0,1.0,7.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
qX9j_dHRYF8,50,5.0,0.0,6.0,4.0,3.0,2.0,3.0,4.0,5.0,0.0,1.0,0.0,3.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,1.0,4.0,0.0
