video_id,entity_total,count_therapeutic_procedure,count_coreference,count_clinical_event,count_nonbiological_location,count_disease_disorder,count_diagnostic_procedure,count_detailed_description,count_biological_structure,count_personal_background,count_sign_symptom,count_date,count_age,count_lab_value,count_subject,count_time,count_severity,count_family_history,count_duration,count_other_event,count_frequency,count_other_entity,count_quantitative_concept,count_occupation,count_outcome,count_sex,count_qualitative_concept,count_activity,count_medication,count_dosage,count_history
Lq2taGJseak,8,4.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iWDH0psBCJo,74,11.0,6.0,0.0,2.0,2.0,3.0,7.0,15.0,0.0,6.0,0.0,0.0,3.0,0.0,6.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,0.0
QX_qo-yAEuo,51,11.0,2.0,1.0,0.0,4.0,12.0,3.0,4.0,0.0,6.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0
TRAD9Ds7UXU,19,3.0,0.0,2.0,2.0,4.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0
fmwIrhN9Cmc,78,6.0,2.0,1.0,2.0,25.0,8.0,16.0,6.0,0.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
EyHrj68ar2Q,84,16.0,6.0,2.0,10.0,2.0,1.0,14.0,1.0,0.0,6.0,8.0,2.0,6.0,2.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
mN2C1tKseLQ,20,3.0,2.0,0.0,1.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dybUTrz40tg,71,14.0,9.0,3.0,8.0,4.0,3.0,4.0,1.0,0.0,9.0,0.0,0.0,11.0,2.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
jqo2i_iE-RA,113,21.0,1.0,0.0,3.0,18.0,4.0,28.0,4.0,0.0,13.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
WK9aqBlm6cc,73,13.0,1.0,2.0,0.0,2.0,5.0,3.0,0.0,0.0,2.0,1.0,2.0,8.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,27.0,0.0,0.0
2g71uDwOqOE,58,15.0,12.0,1.0,2.0,1.0,2.0,18.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2ngQBjNjNB4,48,4.0,2.0,6.0,8.0,4.0,3.0,6.0,4.0,0.0,3.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
TyEzeuQQCJM,10,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
WdNQI2SK0PY,61,9.0,3.0,2.0,2.0,3.0,3.0,11.0,8.0,0.0,0.0,2.0,0.0,10.0,4.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3C8hSJhPM_c,11,2.0,1.0,0.0,1.0,1.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vMfopCQEf0s,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-F8PZyqms3U,74,12.0,12.0,6.0,1.0,2.0,2.0,16.0,0.0,0.0,4.0,2.0,0.0,3.0,3.0,1.0,0.0,0.0,4.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
kmxmYldNeyI,45,9.0,2.0,5.0,2.0,0.0,1.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
0YgshUiT4Wo,68,10.0,0.0,2.0,1.0,4.0,22.0,3.0,18.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
3thMvCaALDc,72,11.0,1.0,1.0,4.0,6.0,5.0,5.0,13.0,0.0,0.0,4.0,1.0,7.0,2.0,0.0,1.0,1.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ID5sB7uCa3A,46,5.0,3.0,5.0,5.0,2.0,5.0,4.0,0.0,0.0,3.0,4.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
yVIy8xfp1vo,44,7.0,2.0,0.0,4.0,7.0,8.0,3.0,2.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
cuKPRygRgDQ,9,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
9QiQvxDjV5w,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AhN5Z5pfWW4,23,0.0,1.0,0.0,0.0,0.0,1.0,3.0,4.0,0.0,3.0,5.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
isXPGOMIEpg,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
