video_id,entity_total,count_sign_symptom,count_disease_disorder,count_history,count_subject,count_detailed_description,count_therapeutic_procedure,count_date,count_occupation,count_diagnostic_procedure,count_lab_value,count_duration,count_biological_structure,count_nonbiological_location,count_coreference,count_frequency,count_activity,count_outcome,count_quantitative_concept,count_age,count_medication,count_dosage,count_time,count_administration,count_clinical_event,count_personal_background,count_family_history,count_color,count_other_event,count_volume,count_other_entity,count_severity
6FpNp3Uy04Q,29,1.0,0.0,1.0,1.0,10.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,5.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
t1H7yi7VHK4,8,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6zP1g_Y_wSo,90,27.0,3.0,0.0,0.0,3.0,7.0,0.0,0.0,17.0,5.0,4.0,11.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0
U0UE68qHkGI,32,1.0,0.0,0.0,2.0,6.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0
YydNvpjjijw,14,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3YY_2TSC1kY,57,6.0,1.0,0.0,0.0,2.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,4.0,3.0,0.0,0.0,0.0,0.0,18.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y0pu63ruzrA,41,1.0,1.0,0.0,0.0,3.0,6.0,0.0,0.0,16.0,1.0,1.0,1.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7icHN2_qfig,8,0.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NeqmyJ_TK2U,94,4.0,0.0,0.0,1.0,19.0,6.0,1.0,0.0,8.0,5.0,1.0,0.0,1.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0
ke0BMw75oN4,92,5.0,0.0,0.0,2.0,14.0,2.0,0.0,1.0,37.0,12.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
iP4kaR8wtE4,14,0.0,0.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
L_dCXo8a3Z0,20,1.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,6.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
eJ14QxkaKsk,10,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Y_bDvmxlFBk,63,7.0,1.0,0.0,6.0,9.0,11.0,0.0,0.0,5.0,2.0,0.0,1.0,2.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
PTPIEyI50Ko,30,0.0,0.0,0.0,3.0,5.0,6.0,0.0,1.0,5.0,0.0,0.0,0.0,1.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1Kjj5glCjO4,13,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
_D0wHa7h5r4,5,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Q75-R4EMtZI,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PhVSxGhH92s,69,2.0,6.0,3.0,0.0,8.0,5.0,2.0,4.0,5.0,2.0,0.0,6.0,16.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
2zy9LV6ARSI,45,0.0,0.0,0.0,0.0,6.0,13.0,0.0,0.0,9.0,1.0,2.0,5.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
n_bwwxGH9Bw,14,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
s2U1I1txCuw,26,0.0,0.0,0.0,5.0,4.0,3.0,0.0,0.0,1.0,2.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-ks0hNR8blI,53,0.0,1.0,0.0,1.0,16.0,4.0,0.0,0.0,1.0,0.0,1.0,6.0,8.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
vzw7KPmSw-E,78,0.0,10.0,0.0,0.0,13.0,11.0,1.0,0.0,4.0,4.0,2.0,4.0,4.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AkxVxcwk89g,36,0.0,12.0,0.0,0.0,3.0,4.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66Uv-ZwBY88,44,1.0,0.0,0.0,0.0,5.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,11.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
f4bW9exS6vY,17,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mo6R0BY--F4,55,0.0,2.0,2.0,5.0,4.0,4.0,1.0,1.0,3.0,3.0,4.0,1.0,8.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0
X2LY1h8tDU8,25,0.0,0.0,0.0,0.0,11.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iqcLXLNE9oc,1,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
nsimm-zLZcs,72,1.0,3.0,0.0,1.0,6.0,10.0,1.0,0.0,9.0,1.0,6.0,1.0,11.0,11.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
oyp_XInRObU,28,1.0,2.0,0.0,3.0,5.0,2.0,0.0,0.0,4.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
m1k2k6Q--J8,5,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
shX5xqZSAjk,87,5.0,14.0,1.0,6.0,3.0,18.0,1.0,0.0,4.0,2.0,1.0,7.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
b-rUUzE1tzQ,40,0.0,5.0,3.0,6.0,6.0,4.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0
rTjgXZM8yN8,29,2.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,3.0,1.0,0.0,4.0,0.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
CaPxqmkBDEg,7,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63Al6PQ7ma0,44,2.0,4.0,0.0,5.0,11.0,7.0,0.0,0.0,1.0,3.0,1.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
KQQpWs5HEEc,41,1.0,0.0,0.0,0.0,13.0,5.0,1.0,0.0,4.0,5.0,1.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
