video_id,entity_total,count_quantitative_concept,count_clinical_event,count_nonbiological_location,count_age,count_date,count_sign_symptom,count_therapeutic_procedure,count_biological_structure,count_duration,count_time,count_detailed_description,count_diagnostic_procedure,count_disease_disorder,count_subject,count_coreference,count_medication,count_family_history,count_lab_value,count_other_event,count_color,count_shape,count_personal_background,count_activity,count_occupation,count_history,count_outcome,count_frequency,count_other_entity,count_dosage,count_sex,count_severity,count_administration,count_texture
53nSYd7rkBQ,65,0.0,3.0,3.0,0.0,0.0,5.0,7.0,0.0,1.0,0.0,5.0,5.0,4.0,14.0,1.0,0.0,1.0,7.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
8AdKbX3LLiM,59,0.0,0.0,4.0,0.0,1.0,4.0,10.0,0.0,6.0,0.0,3.0,1.0,1.0,0.0,3.0,1.0,1.0,22.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ku2cm72SvfI,51,0.0,1.0,0.0,1.0,0.0,1.0,8.0,0.0,2.0,0.0,14.0,1.0,1.0,7.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
L0ES-Z0Tjr0,19,1.0,1.0,0.0,0.0,0.0,0.0,6.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
8eAgLpIHcrc,63,0.0,2.0,4.0,0.0,0.0,0.0,4.0,0.0,1.0,2.0,15.0,7.0,2.0,0.0,11.0,9.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0
0F9qXbzbNxw,95,0.0,0.0,3.0,0.0,1.0,21.0,2.0,6.0,0.0,2.0,20.0,0.0,7.0,1.0,9.0,19.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Cel78LhQ04w,78,0.0,2.0,1.0,0.0,0.0,5.0,4.0,3.0,4.0,0.0,9.0,1.0,26.0,1.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
AwXputSuVeo,76,0.0,1.0,4.0,0.0,0.0,9.0,2.0,6.0,1.0,0.0,18.0,0.0,17.0,2.0,9.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
HLYe_UsgtVQ,53,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,15.0,0.0,29.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
rGz-4aGYbvE,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hYEsn973PgY,45,1.0,2.0,4.0,0.0,0.0,0.0,3.0,0.0,3.0,0.0,11.0,2.0,2.0,3.0,5.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
-UfkH83KeC8,68,0.0,1.0,4.0,0.0,3.0,1.0,13.0,5.0,3.0,0.0,14.0,3.0,0.0,1.0,14.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dir8mxyMZ58,54,0.0,1.0,5.0,1.0,0.0,2.0,7.0,10.0,1.0,1.0,4.0,2.0,2.0,0.0,6.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
aH0-_BYHQtY,20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,2.0,2.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
74WgJHBRDxI,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Al4HeG0SEOY,17,0.0,0.0,4.0,0.0,1.0,2.0,3.0,1.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sdboRWaWLyg,58,0.0,2.0,3.0,0.0,0.0,4.0,7.0,8.0,0.0,0.0,9.0,8.0,8.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
gY060n5FcH0,5,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
pSqS-w8OxNQ,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
a4r2xgYQ4Gw,42,0.0,4.0,3.0,0.0,0.0,2.0,14.0,7.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
4JOucJhWvJU,56,1.0,0.0,4.0,0.0,0.0,6.0,2.0,3.0,0.0,0.0,10.0,3.0,3.0,3.0,11.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0
9nquNhUAju0,68,0.0,2.0,1.0,1.0,1.0,0.0,8.0,2.0,3.0,1.0,5.0,8.0,1.0,5.0,26.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
XnKjAqJNI9Q,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ZmvpFiaKAWY,28,0.0,2.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,7.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
h8pZlSo9q7o,56,0.0,1.0,4.0,0.0,5.0,7.0,3.0,4.0,0.0,0.0,8.0,5.0,3.0,1.0,3.0,0.0,8.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
