video_id,entity_total,count_sign_symptom,count_lab_value,count_frequency,count_time,count_nonbiological_location,count_disease_disorder,count_biological_structure,count_therapeutic_procedure,count_coreference,count_outcome,count_detailed_description,count_duration,count_medication,count_diagnostic_procedure,count_date,count_administration,count_clinical_event,count_dosage,count_subject,count_family_history,count_activity,count_occupation,count_other_event,count_age,count_history,count_severity,count_quantitative_concept,count_qualitative_concept,count_distance,count_sex,count_personal_background
xjrbiIjrP18,20,0.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,13.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2y7_hW0r-KA,69,14.0,4.0,3.0,1.0,3.0,2.0,5.0,2.0,1.0,3.0,5.0,2.0,0.0,5.0,5.0,0.0,5.0,0.0,2.0,2.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0
8r0zH7wXpAE,19,1.0,1.0,0.0,0.0,3.0,3.0,0.0,4.0,0.0,0.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NehoHiO3zf0,22,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Qu0HUsfzsmc,74,8.0,3.0,3.0,2.0,2.0,0.0,0.0,7.0,2.0,0.0,26.0,7.0,1.0,5.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0
I12PMiX5h3E,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ym2-QTHdBuk,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0c6RzAgaWSs,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9AMz_ZS9X2A,14,0.0,0.0,0.0,0.0,0.0,1.0,4.0,2.0,0.0,1.0,1.0,1.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wApvCj3HDAU,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BdXFpm5GEVs,19,2.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,6.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_rMLpAFhm7E,27,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,8.0,0.0,7.0,0.0,0.0,6.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
S9J_U8Hmtu8,31,0.0,3.0,0.0,2.0,1.0,7.0,0.0,6.0,1.0,0.0,6.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_ThKl9iS0T8,61,2.0,1.0,0.0,0.0,3.0,1.0,1.0,7.0,24.0,0.0,8.0,4.0,1.0,6.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mS_xYFWDa8M,22,2.0,0.0,0.0,0.0,0.0,5.0,4.0,6.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sOxTIanaXBA,13,0.0,0.0,1.0,0.0,0.0,2.0,1.0,7.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
A0Q0XmmoMlo,53,2.0,1.0,1.0,0.0,6.0,0.0,5.0,16.0,4.0,0.0,9.0,0.0,0.0,2.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0
Cp59BCMVHHc,18,1.0,0.0,0.0,0.0,0.0,0.0,11.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
YjYEsfJI0kU,39,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,10.0,0.0,14.0,0.0,1.0,6.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nlt5PBrowKE,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
m40JLvX5u3s,11,2.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
a9_SPNd71H4,63,3.0,3.0,1.0,5.0,6.0,2.0,0.0,8.0,2.0,1.0,6.0,2.0,1.0,2.0,6.0,0.0,4.0,0.0,5.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
PT5cFR296-w,6,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dcbekI8JwgE,67,4.0,7.0,1.0,0.0,9.0,1.0,0.0,13.0,8.0,0.0,4.0,1.0,0.0,0.0,11.0,0.0,2.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ASKTLgW6qZY,43,0.0,1.0,0.0,0.0,1.0,7.0,4.0,9.0,2.0,3.0,6.0,0.0,0.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
bUfG4WMEP_Q,23,2.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0
lxVGPACR5ok,53,1.0,1.0,0.0,0.0,3.0,0.0,10.0,11.0,7.0,0.0,14.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
o4d-HKnLnOQ,78,0.0,0.0,0.0,0.0,11.0,0.0,7.0,31.0,6.0,0.0,13.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KYlWIGUYqro,68,1.0,3.0,0.0,5.0,7.0,3.0,5.0,8.0,4.0,2.0,17.0,1.0,0.0,1.0,2.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
bmNYe2zVoLo,52,1.0,17.0,1.0,0.0,0.0,0.0,8.0,3.0,8.0,2.0,5.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Y38TlnYc7Us,42,4.0,2.0,0.0,1.0,2.0,6.0,3.0,7.0,1.0,0.0,7.0,2.0,0.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
-OcOA2cE5w4,51,7.0,5.0,1.0,0.0,0.0,4.0,1.0,6.0,1.0,0.0,6.0,1.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,1.0,7.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
ScdYA0wPRtY,4,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
_6eyXBf2gkc,86,15.0,5.0,4.0,2.0,3.0,10.0,2.0,3.0,7.0,0.0,19.0,4.0,1.0,3.0,1.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
ogYXxFmt6ro,49,0.0,1.0,0.0,0.0,16.0,0.0,0.0,5.0,9.0,0.0,10.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
upTj79dRmZk,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XiQSuoAnS7Q,109,7.0,3.0,0.0,1.0,4.0,4.0,0.0,8.0,4.0,2.0,23.0,4.0,2.0,8.0,4.0,0.0,4.0,0.0,8.0,5.0,0.0,8.0,0.0,2.0,7.0,0.0,1.0,0.0,0.0,0.0,0.0
