video_id,entity_total,count_personal_background,count_sex,count_activity,count_date,count_occupation,count_history,count_disease_disorder,count_family_history,count_detailed_description,count_nonbiological_location,count_lab_value,count_biological_structure,count_frequency,count_duration,count_therapeutic_procedure,count_diagnostic_procedure,count_coreference,count_clinical_event,count_subject,count_other_event,count_time,count_sign_symptom,count_medication,count_dosage,count_other_entity,count_severity,count_outcome,count_administration,count_age,count_quantitative_concept
FySIVTsfjvs,45,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,10.0,5.0,2.0,0.0,0.0,0.0,3.0,4.0,18.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
w8HOmbrfjsc,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wIn5-LK7Rvw,13,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0
uGcLOfUlzfc,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cCpimjQzd1Y,12,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IqtDaTv8g3Q,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HH-bwzLwUwo,39,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,9.0,5.0,0.0,0.0,1.0,0.0,3.0,2.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DH7ALsYX_JQ,73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.0,8.0,4.0,5.0,1.0,1.0,12.0,9.0,14.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
gtPXHMa1QG8,59,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,3.0,17.0,0.0,0.0,8.0,5.0,8.0,9.0,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
s_MYXtZbmA4,37,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,21.0,2.0,0.0,0.0,0.0,0.0,3.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
fgpgvRpNO04,37,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,8.0,6.0,2.0,0.0,0.0,0.0,0.0,5.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
XSOok6KDMAI,38,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,5.0,7.0,0.0,0.0,0.0,0.0,3.0,2.0,14.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M3RcLg9z3yY,55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,9.0,2.0,0.0,0.0,0.0,7.0,3.0,13.0,0.0,3.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LwpWRxF4qIs,22,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,2.0,6.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
iynOzdIx_Xc,44,0.0,0.0,0.0,3.0,0.0,0.0,2.0,0.0,3.0,1.0,5.0,2.0,1.0,4.0,8.0,2.0,7.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2qaZf1CNS9Q,49,0.0,0.0,0.0,1.0,0.0,1.0,5.0,0.0,17.0,1.0,0.0,1.0,0.0,0.0,9.0,4.0,6.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
mioatMDYVew,33,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,2.0,1.0,0.0,3.0,12.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
n8skoBVca38,69,0.0,0.0,0.0,0.0,0.0,1.0,7.0,0.0,5.0,1.0,14.0,0.0,1.0,2.0,21.0,9.0,1.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
fD6S4DDE7Ak,56,2.0,0.0,1.0,1.0,0.0,0.0,1.0,5.0,8.0,6.0,1.0,0.0,0.0,0.0,9.0,2.0,11.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
oi3nd2llhHM,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
u1fybCe0-js,52,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.0,2.0,0.0,0.0,0.0,6.0,6.0,19.0,2.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
zH5UrjPyfno,12,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
q0PRVH_f-ok,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0
4nRfuf13vS4,22,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Im2IF0AjmM0,111,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,15.0,3.0,14.0,4.0,1.0,5.0,4.0,4.0,55.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COyT0aiMew8,78,0.0,0.0,1.0,2.0,0.0,3.0,5.0,6.0,15.0,9.0,4.0,0.0,0.0,2.0,3.0,1.0,5.0,4.0,9.0,0.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
