"video_id","description","has_title","has_description","video_duration","description_length","description_unique_words","view_count","like_count","comment_count","subscriber_count","channel_upload_count","sentiment","sentence_count"
"-SE6qHgJYm0","Yoshifumi Naka, MD, PhD, is an internationally known heart transplant surgeon and a pioneer in mechanical assist therapy for heart failure. Under his leadership, Columbia University Medical Center's Cardiac Transplantation and Mechanical Circulatory Support Programs have earned international recognition for their contributions in developing and testing new cardiac devices and in training cardiothoracic surgeons around the world. Columbia's heart transplant program is the largest U.S. heart transplant program by volume.  Dr. Naka's clinical specialties include adult cardiac surgery for coronary artery disease, valvular heart disease, heart transplantation, and mechanical circulatory support device implantation. His research has focused on cardiac and pulmonary transplantation, organ preservation, surgical treatment of atrial fibrillation, vein graft disease after bypass surgery, and outcomes of clinical mechanical circulatory support device surgery and heart transplantation. He has been a lead investigator in several clinical trials paving the way in the research and innovation of new approaches to mechanical circulatory assistance, including use of these devices as destination therapy for patients with advanced heart failure.  Dr. Naka earned his medical and post-doctoral degrees at the Osaka University Medical School in Japan. Upon his arrival at Columbia University in 1993, he began his specialization in cardiac and pulmonary transplantation, in research efforts. He finished his training in 1998, having completed a research fellowship in cardiac and pulmonary transplantation and a visiting clinical fellowship in cardiothoracic surgery, after which he joined the cardiac surgery faculty of the Columbia University College of Physicians and Surgeons.",True,True,132.0,243,136,1595,7,0,88900,1346,"Neutral",9
"-UfkH83KeC8","UVA Transplant Surgeon Alden Doyle, MD celebrates 50 years of organ transplantation at UVA Health System.",True,True,624.0,16,15,59,1,0,16500,1455,"Neutral",1
"-Y8KuNWQQ9Q","For more information on Dr. Warejko or #YaleMedicine, visit: https://www.yalemedicine.org/doctors/jillian_warejko.  Jillian Warejko, a pediatric nephrologist, was drawn to treating children with kidney diseases because of the long-lasting relationships she forms with her patients, and the many successful treatment options she can offer them. “The kidneys are one of the few organ systems where if, in the worst case scenario, I need to step in and intervene because they aren’t doing what they need to do, I can because there’s dialysis and transplant,” Dr. Warejko says. “You can replace a nonfunctioning kidney with a functioning one. You can restore previously lost function. All of this allows kids to grow and develop as they should. They can get dialysis or a transplant and still go to school. And in some cases, I see kids who are born with a kidney problem in the hospital and continue treating them until they’re off to getting their Ph.D., which is really cool.” The kidneys also continue to fascinate Dr. Warejko. “As human beings, we’re 70 percent water and kidneys dictate how the salt and water in your body stays in balance. Your heart needs certain electrolytes to be in certain proportions to beat well. Your brain needs the same to think and transmit signals so you can move your muscles and think,” she says. “In most cases, you can’t feel your kidneys and they don’t cause you pain, but they can certainly causes a lot of health issues if they aren’t perfectly tuned.” Dr. Warejko’s research explores nephrotic syndrome, a rare form of kidney disease that causes the kidneys to become “very leaky,” she says, and put protein in the urine, which causes the organs to swell and not function well.",True,True,73.0,286,172,272,0,1,74500,586,"Neutral",14
"-Yy-KYj-lBw","Pulmonary hypertension occurs when the blood pressure in the lungs is too high. This leads to pressure in the heart and serious complications. At UVA, the Center of Comprehensive Care for Pulmonary Hypertension offers a multi-disciplinary approach to treatment and management of this condition.  For more information, visit: https://uvahealth.com/services/heart-failure-transplant/pulmonary-hypertension  Pulmonary hypertension is an umbrella term for a family of diseases that all have the same presentation, which is where the blood pressures in the lungs are elevated.   As the heart pumps on the right side, it pumps that blood through the lungs where oxygen is picked up to the left side of the heart. The left side of the heart then pumps that blood to the rest of the body. And it’s that conduit, or that interplay, between the right and left side of the heart that takes place across the lungs, where disease can take place.   Symptoms of pulmonary hypertension can often times be deceptive. In fact, there’s quite a bit of lag between when patients present their symptoms and when they’re diagnosed. The reason for that is the symptoms are the same symptoms that you see in any type of heart or lung disease. Patients may present with a chest pain that is not exactly from a clear source. They can present with breathlessness, particularly when they walk, and even, particularly, when they walk upstairs, or up inclines. Some patients will present with a cough. Some patients will present with swelling in their feet. And often times patients will present just with having abnormal echocardiograms.   The treatments for pulmonary hypertension are diverse, and the reason for that is that the causes for pulmonary hypertension are diverse.   Some patients, when they come into our clinic, we make lifestyle recommendations, recommendations for the changes in their diet. In that case, sometimes, we have them meet with our nutritionist.   Some patients, we make recommendations about changing their sleep habits. In that case, often times, we’ll make referrals to our sleep doctors to help in that evaluation.   Sometimes patients require higher and more complicated therapies, and in that regards, our nurse practitioner, our nurse, our pharmacist, and often time, the combination of the cardiologist and pulmonologist in our clinic come together to devise an individualized plan for the individual needs of that patient and their disease.",True,True,118.0,384,180,25524,165,18,16500,1455,"Neutral",21
"-_y1b3X80EA","Learn more about Stanford Children's Health. http://www.stanfordchildrens.org",True,True,183.0,7,7,3637,21,0,12600,950,"Negative",1
"-a4HVaw8rNE","Valentine's Day holds a very special place for the Bingham Family. Today is the one year anniversary of 10-year-old Lindsey Bingham's heart transplant. During a recent checkup at our hospital, Lindsey and her mom Stacy sent heartfelt greetings to all!",True,True,29.0,40,37,3311,25,0,12600,950,"Positive",3
"-cMlDHvdeWQ","National Donor Day is a day raise the awareness for the need for donated organs to save the lives of the thousands of people on the list waiting for the gift of life. Transplant manager Vicki Hunter, transplant coordinator Regina Rau and Kara Cordell with Live On Nebraska take part in a Q&A session about organ donation and share what sets Nebraska Medicine apart as a transplant center.",True,True,801.0,68,54,224,2,0,53500,1701,"Neutral",2
"-gOE6NWC-r0","Learn  the specific diet recommendations and food safety guidelines given to you to keep yourself safe and well after your transplant.    For additional resources, please visit https://cle.clinic/2WD4L5t",True,True,939.0,27,25,1921,23,0,697000,6101,"Neutral",2
"-ks0hNR8blI","AST/AJT Journal Club:  - ""The survival advantage of pancreas after kidney transplant."" - Am J Transplant. 2019 Mar;19(3):823-830. doi: 10.1111/ajt.15106. Epub 2018 Oct 4. - Hosted by AST's Kidney Pancreas Community of Practice (KPCOP) on May 4, 2020   Speaker:  - Jonathan Fridell, MD • Indiana University School of Medicine, Indianapolis, IN   Moderator:  - Jon Odorico, MD • University of Wisconsin-Madison School of Medicine and Public Health, Madison, WI  Learn more about the AST/AJT Journal Club series at: https://www.myast.org/education/astajt-journal-club  Explore all of AST’s professional education content at: https://www.myast.org/education  Educational material for the transplant community is available at: http://power2save.org/",True,True,3936.0,90,72,358,1,0,24900,211,"Neutral",6
"-lT64N06IdE","nan",True,False,419.0,0,0,445,6,0,15600,1174,"",0
"-mjXDwjvkNI","Rebecca Cogswell, MD, Chair of the TTX Registry Steering Committee, will be presenting new data during General Session I at the ISHLT’s 45th Annual Meeting & Scientific Sessions in Boston, MA USA on 27 April, 2025. Learn more about ISHLT2025 by visiting ishlt.org/ishlt2025.",True,True,52.0,42,41,97,0,0,674,262,"Neutral",2
"-mw-gyN054o","UPMC Children's Hospital is committed to providing expert care for patients regardless of where they live.  Learn More About the UPMC Children's Hospital of Pittsburgh Pediatric Liver Clinic at UPMC Pinnacle Harrisburg. https://www.chp.edu/campaigns/harrisburg",True,True,131.0,33,28,192,0,0,13800,709,"Neutral",2
"-npwKFGAcc8","More about Dr. Brubaker: https://providers.ucsd.edu/details/1790104305/transplantation-cancer  Aleah Brubaker, MD, PhD, is a board-certified surgeon who specializes in abdominal (liver and kidney) transplantation in adult and pediatric patients. She also has expertise in surgical treatment of liver tumors, hepatocellular carcinoma, liver cirrhosis and end-stage renal disease. She is dedicated to guiding patients through their difficult and scary experience of undergoing a transplant. Dr. Brubaker's work has appeared in several medical and research publications. She also has co-authored several book chapters on transplantation.   Transplant services at UC San Diego Health: https://health.ucsd.edu/specialties/transplant/Pages/default.aspx Cancer services: https://health.ucsd.edu/specialties/cancer/Pages/default.aspx",True,True,127.0,91,68,850,6,0,113000,553,"Neutral",6
"-oJFHEByRPw","Raegan Cury, who lives in Atlantic Beach, Florida, was diagnosed with bronchoalveolar lung cancer. Unfortunately, following surgery to remove one lung and chemotherapy, additional cancer nodules were found throughout her remaining lung. Learn about the unique lung transplant technique that Cesar Keller, M.D., a pulmonologist at Mayo Clinic in Jacksonville, used to save Raegan’s life.   To request an appointment, visit http://www.mayoclinic.org/departments-centers/transplant-center/lung-transplant/choosing-mayo-clinic/appointments-referrals",True,True,218.0,61,55,2894,22,0,1220000,11882,"Neutral",4
"-pSSzZZch8Y","Mayo Clinic's kidney transplant team of surgeons, doctors, transplant nurses, pharmacists, social workers and others work together to manage every aspect of your transplant, from planning of transplant options through post-transplant care. In this video, learn more about the kidney transplant process and what you can expect before, during and after your kidney transplant surgery.  http://www.mayoclinic.org/departments-centers/transplant-center/kidney-transplant",True,True,369.0,56,44,11924,46,0,1220000,11882,"Neutral",2
"-rUGADJf8MI","From early mornings to late nights, thousands of team members across Duke Health are committed to delivering the best care for you and your loved ones. You’re why we’re focused on excellence, no matter the time of day.",True,True,61.0,38,35,1236111,179,0,55000,668,"Neutral",2
"-vUZqrsBPvU","Joel Wedd, M.D., medical director of liver transplantation at VCU Health Hume-Lee Transplant Center, discusses the care he provides to patients dealing with acute and chronic liver disease and managing those in need of an organ transplant.",True,True,151.0,37,34,335,1,0,15600,1174,"Neutral",1
"-y6JiLg201w","This video will help you better understand and prepare for your kidney biopsy procedure. A print version of the content in this video is available at https://www.uwhealth.org/healthfacts/renal/7743.html",True,True,511.0,27,26,83079,0,0,24400,946,"Neutral",2
"0037qEU7iHY","Lorie McDavid received a liver transplant at the Washington University and Barnes-Jewish Hospital Transplant Center.  More information about liver transplant can be found here:  http://www.barnesjewish.org/liver-transplant      Lorie had been diagnosed with cholangiocarcinoma. Until recently, there was nothing that doctors could do for patients with cholangiocarcinoma. Patients could receive chemo and radiation, but their life expectancy was not very long. Dr. Chapman placed Lorie in a study to receive chemo and radiation to shrink the tumor and then performed a liver transplant.     She went back to work 4 short months after the liver transplant. With the cancer gone, she is now doing all the things that she used to.   For more information about liver transplant, visit http://www.barnesjewish.org/liver-transplant.",True,True,84.0,115,81,1013,6,1,12500,530,"Neutral",8
"03jZdOzvjSc","Transplant patient information about the medication Everolimus (Zortress®) presented by Chelsea Sammons, PharmD, BCPS, Clinical Pharmacy Specialist - Liver Transplantation #pennmedicine",True,True,348.0,20,20,1369,13,1,75200,1684,"Neutral",1
"048MToVYJmI","To read more of Abraham and Nikko’s story, please visit https://cle.clinic/3OpQG6L  Abraham needed a liver to live. His daughter's boyfriend, Nikko, answered the call. He underwent a minimally invasive surgery to donate a portion of his liver.  For more information about living liver donor program, please visit https://cle.clinic/31rgy9F  To learn more about Dr. Kwon, please visit https://cle.clinic/3Lvk9cv  If you liked the video hit like and subscribe for more!  #clevelandclinic #livingdonor #livertransplantation #livertransplant #organdonation #laparoscopicsurgeon #laparoscopysurgery #patientstories #patientstory",True,True,64.0,77,59,1006,13,4,697000,6101,"Neutral",4
"04ZmEPOjrw4","Mayo Clinic Florida and the National Kidney Registry have partnered to offer NKR Microsites for our kidney transplant patients.  A Microsite is a FREE personalized website designed to help you search for a living donor.  You Microsite information can be easily shared through email, social media and face to face with the 250 free business cards that are provided once your site is active.  Your Microsite provides potential donors a way to easily and confidentially register to be your donor.  You also will have the assistance of an experienced coach to help you through the set-up process.  From Mayo Clinic to your inbox, sign-up for free: https://mayocl.in/3e71zfi  Visit Mayo Clinic: https://mayocl.in/2COVmlm   Like Mayo Clinic on Facebook: https://www.facebook.com/mayoclinic/ Follow Mayo Clinic on Instagram: https://www.instagram.com/mayoclinic/  Follow Mayo Clinic on Twitter: https://twitter.com/mayoclinic",True,True,3162.0,129,86,1818,24,0,1220000,11882,"Neutral",6
"05G3hfCd8O0","Julie Iglesias, CPNP, Nurse Practitioner and Transplant Coordinator at Boston Children's Hospital, talks about what parents can expect they prepare to go home following their child's liver transplant.",True,True,91.0,28,28,802,0,0,128000,2724,"Neutral",1
"07wh0brpo4Y","For more information about living liver donor program, please visit https://cle.clinic/31rgy9F  Unlike open surgery that requires a large incision to access the liver, the laparoscopic procedure is performed with surgical tools and a camera inserted through a few half-inch holes in the abdomen of the living donor. Once the piece of the liver is dissected, the surgeon retrieves the graft through a small incision below the navel.  Liver transplant surgeon C.H David Kwon, MD, discusses the laparoscopic liver donor procedure more.  To learn more about Dr. Kwon, please visit https://cle.clinic/3Lvk9cv  If you liked the video hit like and subscribe for more!  #clevelandclinic #livingdonor #livertransplantation #livertransplant #organdonation #laparoscopicsurgeon #laparoscopysurgery",True,True,204.0,108,74,6456,60,0,697000,6101,"Neutral",4
"08hdxfjlMR4","#tuftsmedicine #tuftsmedicalcenter #hearttransplant",True,True,38.0,3,3,434,10,1,16700,496,"Neutral",1
"0ArMA5zGgI8","To learn about Lung Transplant Program at Cleveland Clinic, please visit https://cle.clinic/2HX1mIa  Cardiothoracic surgeon Kenneth McCurry, MD, provides an update on lung transplantation including volumes and outcomes.  For more information about Dr. McCurry, please visit https://cle.clinic/3XHmUQt  If you liked the video hit like and subscribe for more! #clevelandclinic #cardiacconsult",True,True,299.0,49,43,463,9,1,697000,6101,"Neutral",2
"0DFBgSNk1J0","nan",True,False,277.0,0,0,829,13,2,569000,3032,"",0
"0DNUVlGgTIo","Texas Health Resources http://www.TexasHealth.org 1-877-THR-WELL",True,True,75.0,5,5,470,2,0,13600,1174,"Neutral",1
"0DQZxvbD-Es","Transplant coordinator Olivia Klyn walks you through the reasons for, and frequency of, biopsies post lung transplant. Within the first year, we’re specifically looking for signs of infection and rejection. Biopsies can confirm acute cellular rejection and chronic rejection within the first year. For this reason, you can expect surveillance biopsies at one month, three months, six months, nine months and at one year. This is the only time you’ll have scheduled biopsies.   UCHEALTH ACROSS THE WEB:  UCHealth.org: https://bit.ly/UCHealthWeb   YouTube: https://bit.ly/UCHealthYouTube Facebook: https://bit.ly/UCHealthFB   Twitter: https://bit.ly/UCHealthTwitter   Pinterest: https://bit.ly/UCHealthPin   Instagram: https://bit.ly/UCHealthIG  Google News: https://bit.ly/UCHealthGNP",True,True,99.0,92,71,120,1,0,45400,902,"Neutral",7
"0DfihOFKmzc","Join Dr. Lyndsey Bowman and Dr. Lisa Potter as they discuss the new Extended Coverage of Immunosuppressive Drugs for Kidney Transplant Patients.   00:00 Introductions 02:18 What is Medicare Part B ID and who can enroll? 03:40 What medication is covered? 06:21 What should patients expect to pay? 08:19 Financial budgeting 10:38 How do you enroll? 14:44 When does coverage begin? 15:47 Patient Resource - https://bit.ly/MedicarePartB-ID",True,True,1015.0,64,58,1397,15,0,24900,211,"Neutral",9
"0F0LNR5OXwo","Sandip Kapur, M.D., the Chief of Transplant Surgery and Director of Kidney and Pancreas Transplant Programs at NewYork-Presbyterian/Weill Cornell Medical Center in New York City, discusses living donor kidney transplants. Specifically, this video focuses on ""kidney chains"" - a kind of kidney swap usually involving three or more transplants. In the arrangement, people donate kidneys to strangers so that someone they know gets a kidney in return.    You can learn more about Dr. Kapur at:  https://www.nyp.org/physician/sandipkapur",True,True,166.0,75,61,1348,4,0,88900,1346,"Neutral",4
"0F9qXbzbNxw","Are you the 33%? https://www.MinuteForYourKidneys.org/?youtube  Donate to support our mission today: https://www.kidney.org/support?youtube  Subscribe to our YouTube channel: http://bit.ly/nkfyoutube  Learn about kidney health, kidney disease, and related conditions: https://www.kidney.org/atoz   About the National Kidney Foundation:  Fueled by passion and urgency, National Kidney Foundation is a lifeline for all people affected by kidney disease. As pioneers of scientific research and innovation, NKF focuses on the whole patient through the lens of kidney health. Relentless in our work, we enhance lives through action, education and accelerating change.   Follow NKF at:  https://www.instagram.com/nationalkidneyfoundation/  https://www.facebook.com/nationalkidneyfoundation/  https://twitter.com/nkf   #kidneys #kidneystrong #kidneyhealth #heartyourkidneys #mykidneysmylife",True,True,719.0,94,73,7411,36,8,46000,861,"Very Positive",5
"0GyVL3Jafks","Please check out this link for updated info on Lung Transplantation Education: https://www.uofmhealth.org/conditions-treatments/transplant/lung-transplant-videos   The University of Michigan Transplant Center is dedicated to helping our lung transplant patients and their families better understand the care we provide.  Learn more here: https://www.uofmhealth.org/conditions-treatments/transplant",True,True,191.0,40,40,2804,15,4,216000,5950,"Neutral",2
"0H_xTEHRK0g","For more information about heart transplants, please visit https://cle.clinic/2uKG0ed  Have you ever wondered about the process for receiving a heart transplantation? Cardiothoracic surgeon Anthony Zaki, MD, provides a brief overview of what to expect throughout the process.  To learn more about Dr. Zaki, please visit https://cle.clinic/48rl8VY  If you liked the video hit like and subscribe for more! #clevelandclinic #loveyourheart #hearttransplant",True,True,329.0,60,46,929,6,0,697000,6101,"Neutral",3
"0I1apTZu-2s","Born with just one kidney, Justin’s journey has been anything but easy. Diagnosed with unilateral renal agenesis shortly after birth, he’s endured dialysis, a failed transplant, and countless challenges. But in June 2024, everything changed: Justin received a successful kidney transplant at UC Davis Children’s Hospital. Now 15, he’s thriving—with no signs of rejection a year later. 💙  #KidneyTransplant #PediatricCare #UCDavis #OrganDonation #KidneyHealth",True,True,43.0,62,56,1128,17,1,244000,700,"Neutral",5
"0K4NKzMNfCI","This video provides insights on how long patients typically wait for an organ transplant and ways to potentially reduce the wait time.",True,True,222.0,22,21,305,1,0,28300,1065,"Neutral",1
"0KWHndFZ6mc","Temple Health physicians are bringing together a unique blend of innovative therapies and novel research to help restore breathing ability in patients with serious lung conditions.   For more information, visit https://www.templehealth.org/services/lung  Follow us on Social Media:  Like Temple Health on Facebook: https://www.facebook.com/TempleHealth/  Follow Temple Health on Instagram: https://www.instagram.com/templehealth/  Follow Temple Health on Twitter (X): https://twitter.com/TempleHealth  Subscribe to us on YouTube: https://www.youtube.com/@templehealth?sub_confirmation=1  #TempleHealth #TempleLungCenter",True,True,33.0,63,49,1109,1,1,3900,286,"Neutral",2
"0M9uEVj9qx0","Living with an LVAD and adjusting to the post-transplant lifestyle can cause stress for both you and your loved ones. Our LVAD/Heart Transplant Support Group provides a safe forum to share your stories and learn from others who have been through similar experiences",True,True,184.0,43,39,2731,18,0,170000,3304,"Neutral",2
"0OIf3CzjQVo","For more information on Dr. Bonde or #YaleMedicine, visit: https://www.yalemedicine.org/doctors/pramod_bonde.  Pramod N. Bonde, MD, is a cardiac surgeon who performs a wide array of procedures, including heart bypass surgery, aortic valve, mitral valve repair/replacement, aortic aneurysm repair, LVAD and heart transplantation. He is an expert at performing so-called keyhole (minimally invasive) surgeries, instead of cracking open the chest. For patients, this approach can mean reduced pain and earlier recovery. His open-heart surgeries, including valve repair/replacements and bypass surgeries, have given countless patients a new lease on life and enabled them to return to playing an active role in society. An associate professor of cardiac surgery at Yale School of Medicine, Dr. Bonde develops and installs heart pumps to support the function of the heart and lungs. He leads a research group that includes close to a dozen physicians, engineers and student assistants, all working on developing fully implantable artificial hearts. Dr. Bonde has helped many patients with his pioneering use of left ventricle assist devices (LVAD), small pumps that are placed in the chest to improve the functions of the heart. LVAD devices are known as a “bridge to transplant” for patients whose hearts are no longer able to pump blood properly and who may be waiting for a transplant. More recently, Dr. Bonde and other cardiac surgeons are using LVADs as permanent solutions for patients who might not be transplant candidates. “These assist devices can save countless lives,” Dr. Bonde says.",True,True,57.0,242,154,936,6,1,74500,586,"Neutral",11
"0P6_5xqg2Wg","Was this video helpful? Tell us: https://kidneyforms.tfaforms.net/4727674 Donate to support our mission today: https://www.kidney.org/support?youtube  Subscribe to our YouTube channel: http://bit.ly/nkfyoutube  Learn about kidney health, kidney disease, and related conditions: https://www.kidney.org/atoz   The kidney numbers, eGFR and uACR, determine the health of our kidneys, as well as our risk for heart disease and the risk for chronic kidney disease (CKD) getting worse. The visual guide for determining these risks is the CKD Heat Map.  Understanding the role of the kidney numbers and how to read and interpret the CKD Heat Map are difficult concepts to convey to both patients and the general population.  Therefore, the National Kidney Foundation has developed three short and engaging animated videos to help explain these complex topics in the simplest terms possible.   About the National Kidney Foundation:  Fueled by passion and urgency, National Kidney Foundation is a lifeline for all people affected by kidney disease. As pioneers of scientific research and innovation, NKF focuses on the whole patient through the lens of kidney health. Relentless in our work, we enhance lives through action, education and accelerating change.   Follow NKF at:  https://www.instagram.com/nationalkidneyfoundation/  https://www.facebook.com/nationalkidneyfoundation/  https://twitter.com/nkf   #kidneys #kidneystrong #kidneyhealth #heartyourkidneys #mykidneysmylife",True,True,142.0,191,124,128470,519,19,46000,861,"Neutral",11
"0PTSL9qCqQQ","Dr. Gabriel Loor is a cardiothoracic surgeon at Baylor Medicine. He serves as Surgical Director of the Lung Transplant Program and Co-Chief of Adult Cardiac Surgery at Baylor St. Luke’s Medical Center.  More info: https://www.bcm.edu/healthcare/specialties/cardiovascular-medicine/cardiothoracic-surgery",True,True,60.0,35,32,701,1,1,23100,1473,"Neutral",3
"0RgqpvAs0O0","We're kicking off National Donate Life Month with a message from Dr. Matthew Cooper, director of Kidney & Pancreas Transplantation. Ever thought about being an organ donor? Visit: https://bit.ly/2FF4xnH",True,True,78.0,28,28,28,0,0,10700,653,"Neutral",3
"0SdnZ5Oe6wU","More than 15,000 people are waiting for a liver transplant. The average wait is around 150 days. Meet a man who endured his time on the waiting list and see the life he now leads thanks to donation.",True,True,2061.0,38,35,112,3,0,14600,3587,"Neutral",3
"0UvOSHJz7U0","Brittany Davenport's youngest daughter was just a few weeks old when Brittany walked herself into UMMC's emergency department complaining of trouble breathing. Tests revealed an infection that had traveled to her lungs, causing them to become increasingly stiffer and less able to breathe for her. Brittany was put on an external lung machine (ECMO), which kept her alive until donor lungs became available. After a successful transplant, Brittany was able to return home to be with her children just in time for Christmas.  Related Links:  Transplant Center http://www.umm.edu/transplant/  Division of Pulmonary and Critical Care http://www.umm.edu/pulmonary/index.htm  Lung Transplant Program http://www.umm.edu/lung/",True,True,120.0,99,78,1686,21,5,42900,959,"Neutral",5
"0WnbzT7kMCI","Heart transplant recipients share their stories and discuss life before and after transplant.",True,True,326.0,13,11,2481,28,4,47600,2491,"Neutral",1
"0Xmk-O8PZ7I","Many of us are searching for the perfect gift this holiday season. Meet an Ohio man who received his gift early – in the form of a rare multi-organ transplant.   NOTE: Members of the media may download broadcast quality video, audio, script and web assets for editorial use at newsroom.clevelandclinic.org.  ➨ Visit Cleveland Clinic: http://bit.ly/XlxDfr ➨ Visit Health Essentials from Cleveland Clinic: http://bit.ly/VBQ3nW ➨ Subscribe to our YouTube Channel: http://bit.ly/W0bJ0y ➨ Like Cleveland Clinic on Facebook: http://on.fb.me/WMFkul ➨ Follow Cleveland Clinic on Twitter: http://bit.ly/Uua1Gs ➨ Follow Cleveland Clinic on Google+: http://bit.ly/136vcTe ➨ Follow Cleveland Clinic on Instagram: http://bit.ly/12gMABx ➨ Connect with Cleveland Clinic on LinkedIn: http://linkd.in/120XfNs ➨ Follow Cleveland Clinic on Pinterest: http://bit.ly/11QqS3A",True,True,87.0,103,74,974,8,0,697000,6101,"Neutral",4
